trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1768107600_7..S,030000_7..S,7,1,1768107600,07 0500 MST/34H,1768127850,1768127856,861,0,0
1768107600_GS.N01R,030000_GS.N01R,GS,0,1768107600,0S 0500  GCS/TSS,1768125696,1768125699,394,0,0
1768107720_5..S52R,030200_5..S52R,2,1,1768107720,02 0502  DYR/SFT,1768129836,1768129839,1223,0,0
1768107780_5..N15R,030300_5..N15R,2,0,1768107780,02 0503  SFT/DYR,1768129914,1768129920,1239,0,0
1768107810_GS.S01R,030350_GS.S01R,GS,1,1768107810,0S 0503+ TSS/GCS,1768125855,1768125861,426,0,0
1768107900_2..S12R,030500_2..S12R,5,1,1768107900,05 0505  241/FLA,1768131366,1768131369,1482,0,0
1768107960_1..S03R,030600_1..S03R,1,1,1768107960,01 0506  242/SFT,1768129404,1768129410,1089,0,0
1768108110_4..N13R,030850_4..N13R,4,0,1768108110,04 0508+ NLT/WDL,1768131396,1768131399,1488,0,0
1768108200_GS.N01R,031000_GS.N01R,GS,0,1768108200,0S 0510  GCS/TSS,1768126275,1768126281,404,0,0
1768108290_2..N12R,031150_2..N12R,5,0,1768108290,05 0511+ FLA/241,1768131345,1768131351,1420,0,0
1768108320_1..N03R,031200_1..N03R,1,0,1768108320,01 0512  SFT/242,1768129704,1768129710,1091,0,0
1768108350_6..N01R,031250_6..N01R,6,0,1768108350,06 0512+ BBR/PEL,1768130205,1768130211,1191,0,0
1768108410_GS.S01R,031350_GS.S01R,GS,1,1768108410,0S 0513+ TSS/GCS,1768126440,1768126446,437,0,0
1768108440_4..S13X027,031400_4..S13X027,4,1,1768108440,04 0514  WDL/NLT,1768131756,1768131759,1502,0,0
1768108590_7..N,031650_7..N,7,0,1768108590,07 0516+ 34H/MST,1768128711,1768128714,837,0,0
1768108770_6..S01R,031950_6..S01R,6,1,1768108770,06 0519+ PEL/BBR,1768130124,1768130130,1048,0,0
1768108800_7..S,032000_7..S,7,1,1768108800,07 0520 MST/34H,1768128984,1768128990,832,0,0
1768108800_GS.N01R,032000_GS.N01R,GS,0,1768108800,0S 0520  GCS/TSS,1768126875,1768126881,397,0,0
1768108830_2..S12R,032050_2..S12R,5,1,1768108830,05 0520+ 241/FLA,1768132446,1768132449,1513,0,0
1768108920_5..S52R,032200_5..S52R,2,1,1768108920,02 0522  DYR/SFT,1768130946,1768130949,1212,0,0
1768108980_5..N15R,032300_5..N15R,2,0,1768108980,02 0523  SFT/DYR,1768131534,1768131540,1331,0,0
1768109010_GS.S01R,032350_GS.S01R,GS,1,1768109010,0S 0523+ TSS/GCS,1768127061,1768127064,434,0,0
1768109160_1..S03R,032600_1..S03R,1,1,1768109160,01 0526  242/SFT,1768130586,1768130589,1123,0,0
1768109310_4..N13R,032850_4..N13R,4,0,1768109310,04 0528+ NLT/WDL,1768132935,1768132941,1552,0,0
1768109400_GS.N01R,033000_GS.N01R,GS,0,1768109400,0S 0530  GCS/TSS,1768127505,1768127511,402,0,0
1768109490_2..N12R,033150_2..N12R,5,0,1768109490,05 0531+ FLA/241,1768132884,1768132890,1481,0,0
1768109520_1..N03R,033200_1..N03R,1,0,1768109520,01 0532  SFT/242,1768130874,1768130880,1077,0,0
1768109550_6..N01R,033250_6..N01R,6,0,1768109550,06 0532+ BBR/PEL,1768130985,1768130991,1099,0,0
1768109610_GS.S01R,033350_GS.S01R,GS,1,1768109610,0S 0533+ TSS/GCS,1768127640,1768127646,429,0,0
1768109640_4..S13X027,033400_4..S13X027,4,1,1768109640,04 0534  WDL/NLT,1768132905,1768132911,1485,0,0
1768109790_7..N,033650_7..N,7,0,1768109790,07 0536+ 34H/MST,1768129830,1768129836,827,0,0
1768109820_7..S,033700_7..S,7,1,1768109820,07 0537 MST/34H,1768130184,1768130190,838,0,0
1768109970_6..S01R,033950_6..S01R,6,1,1768109970,06 0539+ PEL/BBR,1768131606,1768131609,1104,0,0
1768110000_GS.N01R,034000_GS.N01R,GS,0,1768110000,0S 0540  GCS/TSS,1768128084,1768128090,398,0,0
1768110120_2..S12R,034200_2..S12R,5,1,1768110120,05 0542  241/FLA,1768133124,1768133130,1365,0,0
1768110120_5..S52R,034200_5..S52R,2,1,1768110120,02 0542  DYR/SFT,1768132305,1768132311,1244,0,0
1768110180_5..N15R,034300_5..N15R,2,0,1768110180,02 0543  SFT/DYR,1768132125,1768132131,1208,0,0
1768110210_GS.S01R,034350_GS.S01R,GS,1,1768110210,0S 0543+ TSS/GCS,1768128255,1768128261,432,0,0
1768110360_1..S03R,034600_1..S03R,1,1,1768110360,01 0546  242/SFT,1768131786,1768131789,1122,0,0
1768110390_2..N12R,034650_2..N12R,5,0,1768110390,05 0546+ FLA/241,1768133154,1768133160,1355,0,0
1768110510_4..N13R,034850_4..N13R,4,0,1768110510,04 0548+ NLT/WDL,1768133775,1768133781,1487,0,0
1768110600_7..S,035000_7..S,7,1,1768110600,07 0550 MST/34H,1768130616,1768130619,811,0,0
1768110600_GS.N01R,035000_GS.N01R,GS,0,1768110600,0S 0550  GCS/TSS,1768128666,1768128669,394,0,0
