trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1754971200_7..S,024000_7..S,7,1,1754971200,07 0400 MST/34H,1754988074,1754988080,1159,0,0
1754971200_GS.N01R,024000_GS.N01R,GS,0,1754971200,0S 0400  GCS/TSS,1754985689,1754985695,532,0,0
1754971380_2..N08X082,024300_2..N08X082,2,0,1754971380,02 0403  SFT/241,1754989955,1754989958,1673,0,0
1754971410_GS.S01R,024350_GS.S01R,GS,1,1754971410,0S 0403+ TSS/GCS,1754985863,1754985866,578,0,0
1754971470_3..S88R,024450_3..S88R,3,1,1754971470,03 0404+ 148/34S,1754987294,1754987300,883,0,0
1754971500_7..N,024500_7..N,7,0,1754971500,07 0405 34H/MST,1754988599,1754988605,1278,0,0
1754971530_1..S03R,024550_1..S03R,1,1,1754971530,01 0405+ 242/SFT,1754989454,1754989460,1459,0,0
1754971530_3..N90R,024550_3..N90R,3,0,1754971530,03 0405+ 34S/148,1754987306,1754987309,886,0,0
1754971620_4..N13R,024700_4..N13R,4,0,1754971620,04 0407  NLT/WDL,1754991668,1754991671,2050,0,0
1754971740_2..S08R,024900_2..S08R,2,1,1754971740,02 0409  241/FLA,1754992424,1754992430,2252,0,0
1754971800_4..S13X078,025000_4..S13X078,4,1,1754971800,04 0410  WDL/NLT,1754991536,1754991539,1935,0,0
1754971800_GS.N01R,025000_GS.N01R,GS,0,1754971800,0S 0410  GCS/TSS,1754986289,1754986295,532,0,0
1754971830_2..S08X039,025050_2..S08X039,2,1,1754971830,02 0410+ ATL/FLA,1754987306,1754987309,806,0,0
1754971950_6..N01R,025250_6..N01R,6,0,1754971950,06 0412+ BBR/PEL,1754990306,1754990309,1607,0,0
1754971980_2..N08X039,025300_2..N08X039,2,0,1754971980,02 0413  FLA/ATL,1754987426,1754987429,838,0,0
1754972010_GS.S01R,025350_GS.S01R,GS,1,1754972010,0S 0413+ TSS/GCS,1754986460,1754986463,578,0,0
1754972070_1..N03R,025450_1..N03R,1,0,1754972070,01 0414+ SFT/242,1754989964,1754989970,1436,0,0
1754972100_6..S01R,025500_6..S01R,6,1,1754972100,06 0415  PEL/BBR,1754990495,1754990498,1577,0,0
1754972400_7..S,026000_7..S,7,1,1754972400,07 0420 MST/34H,1754988920,1754988923,1107,0,0
1754972400_GS.N01R,026000_GS.N01R,GS,0,1754972400,0S 0420  GCS/TSS,1754986895,1754986898,535,0,0
1754972490_4..S13R,026150_4..S13R,4,1,1754972490,04 0421+ WDL/NLT,1754992328,1754992331,1986,0,0
1754972580_2..N08X082,026300_2..N08X082,2,0,1754972580,02 0423  SFT/241,1754991269,1754991275,1704,0,0
1754972610_GS.S01R,026350_GS.S01R,GS,1,1754972610,0S 0423+ TSS/GCS,1754987066,1754987069,581,0,0
1754972640_2..S08R,026400_2..S08R,2,1,1754972640,02 0424  241/FLA,1754993198,1754993201,2216,0,0
1754972670_3..S88R,026450_3..S88R,3,1,1754972670,03 0424+ 148/34S,1754988416,1754988419,862,0,0
1754972700_7..N,026500_7..N,7,0,1754972700,07 0425 34H/G-C,1754987771,1754987774,692,0,0
1754972730_1..S03R,026550_1..S03R,1,1,1754972730,01 0425+ 242/SFT,1754990555,1754990558,1475,0,0
1754972730_3..N90R,026550_3..N90R,3,0,1754972730,03 0425+ 34S/148,1754988494,1754988500,883,0,0
1754972820_4..N13R,026700_4..N13R,4,0,1754972820,04 0427  NLT/WDL,1754992748,1754992751,2018,0,0
