trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1756872000_7..S,024000_7..S,7,1,1756872000,07 0400 MST/34H,1756889076,1756889079,1261,0,0
1756872090_6..N04X104,024150_6..N04X104,6,0,1756872090,06 0401+ 125/PEL,1756888335,1756888338,1023,0,0
1756872120_5..S32R,024200_5..S32R,5,1,1756872120,05 0402  DYR/180,1756887186,1756887189,715,0,0
1756872180_5..N32R,024300_5..N32R,5,0,1756872180,05 0403  180/DYR,1756887414,1756887420,776,0,0
1756872330_1..S03R,024550_1..S03R,1,1,1756872330,01 0405+ 242/SFT,1756890435,1756890438,1504,0,0
1756872360_6..S04X102,024600_6..S04X102,6,1,1756872360,06 0406  MOT/BBR,1756888644,1756888650,1191,0,0
1756872420_4..N13X008,024700_4..N13X008,4,0,1756872420,04 0407  NLT/WDL,1756892946,1756892949,2173,0,0
1756872540_2..S08R,024900_2..S08R,2,1,1756872540,02 0409  241/FLA,1756893219,1756893225,2246,0,0
1756872570_4..S01X034,024950_4..S01X034,4,1,1756872570,04 0409+ WDL/NLT,1756892568,1756892571,1993,0,0
1756872600_6..N04X001,025000_6..N04X001,6,0,1756872600,06 0410  BBR/MOT,1756889106,1756889109,1069,0,0
1756872630_7..N,025050_7..N,7,0,1756872630,07 0410+ 34H/MST,1756889166,1756889169,1126,0,0
1756872810_2..N08R,025350_2..N08R,2,0,1756872810,02 0413+ FLA/241,1756893504,1756893510,2286,0,0
1756872870_1..N03R,025450_1..N03R,1,0,1756872870,01 0414+ SFT/242,1756890786,1756890789,1439,0,0
1756873110_6..S04X104,025850_6..S04X104,6,1,1756873110,06 0418+ PEL/125,1756889223,1756889226,1022,0,0
1756873200_7..S,026000_7..S,7,1,1756873200,07 0420 MST/34H,1756972806,1756972809,22409,0,0
1756873290_4..S01X003,026150_4..S01X003,4,1,1756873290,04 0421+ WDL/NLT,1756893309,1756893315,1991,0,0
1756873290_6..N04X104,026150_6..N04X104,6,0,1756873290,06 0421+ 125/PEL,1756889565,1756889568,1033,0,0
1756873320_5..S32R,026200_5..S32R,5,1,1756873320,05 0422  DYR/180,1756888374,1756888380,716,0,0
1756873380_5..N32R,026300_5..N32R,5,0,1756873380,05 0423  180/DYR,1756888485,1756888488,745,0,0
1756873440_2..S08R,026400_2..S08R,2,1,1756873440,02 0424  241/FLA,1756894233,1756894236,2276,0,0
1756873530_1..S03R,026550_1..S03R,1,1,1756873530,01 0425+ 242/SFT,1756891539,1756891545,1532,0,0
1756873560_6..S04X102,026600_6..S04X102,6,1,1756873560,06 0426  MOT/BBR,1756889700,1756889703,1153,0,0
1756873620_4..N13X008,026700_4..N13X008,4,0,1756873620,04 0427  NLT/WDL,1756894074,1756894080,2155,0,0
1756873800_6..N01R,027000_6..N01R,6,0,1756873800,06 0430  BBR/PEL,1756892010,1756892013,1524,0,0
1756873830_7..N,027050_7..N,7,0,1756873830,07 0430+ 34H/MST,1756890528,1756890531,1160,0,0
1756874010_2..N08R,027350_2..N08R,2,0,1756874010,02 0433+ FLA/241,1756887204,1756887210,276,0,0
1756874070_1..N03R,027450_1..N03R,1,0,1756874070,01 0434+ SFT/242,1756891731,1756891734,1370,0,0
1756874220_6..S01R,027700_6..S01R,6,1,1756874220,06 0437  PEL/BBR,1756892466,1756892469,1566,0,0
1756874250_7..S,027750_7..S,7,1,1756874250,07 0437+ MST/34H,1756890681,1756890684,1089,0,0
1756874310_4..S01R,027850_4..S01R,4,1,1756874310,04 0438+ WDL/NLT,1756893603,1756893606,1869,0,0
1756874340_2..S01R,027900_2..S01R,2,1,1756874340,02 0439  241/FLA,1756894584,1756894590,2129,0,0
1756874370_6..N04X104,027950_6..N04X104,6,0,1756874370,06 0439+ 125/PEL,1756890654,1756890660,1004,0,0
1756874400_6..S04X001,028000_6..S04X001,6,1,1756874400,06 0440  MOT/BBR,1756890714,1756890720,1097,0,0
1756874520_5..S32R,028200_5..S32R,5,1,1756874520,05 0442  DYR/180,1756889583,1756889586,718,0,0
1756874550_1..S03R,028250_1..S03R,1,1,1756874550,01 0442+ 242/SFT,1756892388,1756892391,1465,0,0
