trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1760500890_7..S,024150_7..S,7,1,1760500890,=7 0401+ CHS/34H,1760516478,1760516481,348,0,0
1760500920_5..S32R,024200_5..S32R,5,1,1760500920,05 0402  DYR/180,1760516025,1760516028,1025,0,0
1760500950_7..S,024250_7..S,7,1,1760500950,07 0402+ WPT/CHS,1760516670,1760516673,1226,0,0
1760500980_5..N32R,024300_5..N32R,5,0,1760500980,05 0403  180/DYR,1760516256,1760516259,1102,0,0
1760501070_3..S88R,024450_3..S88R,3,1,1760501070,03 0404+ 148/34S,1760516898,1760516901,1197,0,0
1760501130_1..S03R,024550_1..S03R,1,1,1760501130,01 0405+ 242/SFT,1760518857,1760518860,1850,0,0
1760501130_3..N90R,024550_3..N90R,3,0,1760501130,03 0405+ 34S/148,1760516910,1760516913,1201,0,0
1760501190_7..N,024650_7..N,7,0,1760501190,07 0406+ 34H/WPT,1760517735,1760517738,1468,0,0
1760501220_4..N13X019,024700_4..N13X019,4,0,1760501220,04 0407  NLT/WDL,1760520939,1760520942,2544,0,0
1760501340_2..S08R,024900_2..S08R,2,1,1760501340,02 0409  241/FLA,1760521920,1760521923,2876,0,0
1760501370_4..S13R,024950_4..S13R,4,1,1760501370,04 0409+ WDL/NLT,1760521200,1760521203,2514,0,0
1760501550_6..N01R,025250_6..N01R,6,0,1760501550,06 0412+ BBR/PEL,1760519949,1760519952,2096,0,0
1760501610_2..N08X004,025350_2..N08X004,2,0,1760501610,02 0413+ FLA/241,1760522228,1760522229,2894,0,0
1760501670_1..N03R,025450_1..N03R,1,0,1760501670,01 0414+ SFT/242,1760519670,1760519673,1885,0,0
1760501700_6..S01X014,025500_6..S01X014,6,1,1760501700,06 0415  PEL/BBR,1760519493,1760519496,1827,0,0
1760502000_7..S,026000_7..S,7,1,1760502000,07 0420 WPT/CHS,1760517669,1760517672,1098,0,0
1760502090_4..S13R,026150_4..S13R,4,1,1760502090,04 0421+ WDL/NLT,1760521800,1760521803,2482,0,0
1760502090_7..S,026150_7..S,7,1,1760502090,=7 0421+ CHS/34H,1760517711,1760517714,347,0,0
1760502120_5..S32R,026200_5..S32R,5,1,1760502120,05 0422  DYR/180,1760517306,1760517309,979,0,0
1760502180_5..N32R,026300_5..N32R,5,0,1760502180,05 0423  180/DYR,1760517306,1760517309,979,0,0
1760502240_2..S08R,026400_2..S08R,2,1,1760502240,02 0424  241/FLA,1760523087,1760523090,2931,0,0
1760502270_3..S88R,026450_3..S88R,3,1,1760502270,03 0424+ 148/34S,1760518056,1760518059,1120,0,0
1760502330_1..S03R,026550_1..S03R,1,1,1760502330,01 0425+ 242/SFT,1760520270,1760520273,1858,0,0
1760502330_3..N90R,026550_3..N90R,3,0,1760502330,03 0425+ 34S/148,1760518098,1760518101,1135,0,0
1760502420_4..N13X019,026700_4..N13X019,4,0,1760502420,04 0427  NLT/WDL,1760522568,1760522571,2630,0,0
1760502600_6..S01X014,027000_6..S01X014,6,1,1760502600,06 0430  PEL/BBR,1760520465,1760520468,1808,0,0
