trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1761192120_5..S32R,024200_5..S32R,5,1,1761192120,05 0402  DYR/180,1761207223,1761207226,937,0,0
1761192150_7..S,024250_7..S,7,1,1761192150,07 0402+ WPT/34H,1761208609,1761208612,1395,0,0
1761192180_5..N32R,024300_5..N32R,5,0,1761192180,05 0403  180/DYR,1761207262,1761207265,950,0,0
1761192240_2..S08R,024400_2..S08R,2,1,1761192240,02 0404  241/FLA,1761212485,1761212488,2846,0,0
1761192300_7..N,024500_7..N,7,0,1761192300,07 0405 34H/WPT,1761208957,1761208960,1526,0,0
1761192330_1..S03R,024550_1..S03R,1,1,1761192330,01 0405+ 242/SFT,1761210175,1761210178,1942,0,0
1761192420_4..N13R,024700_4..N13R,4,0,1761192420,04 0407  NLT/WDL,1761212476,1761212479,2739,0,0
1761192570_4..S13R,024950_4..S13R,4,1,1761192570,04 0409+ WDL/NLT,1761212356,1761212359,2595,0,0
1761192750_6..N01R,025250_6..N01R,6,0,1761192750,06 0412+ BBR/PEL,1761211036,1761211039,2155,0,0
1761192810_2..N08R,025350_2..N08R,2,0,1761192810,02 0413+ FLA/241,1761213409,1761213412,2952,0,0
1761192900_6..S01X014,025500_6..S01X014,6,1,1761192900,06 0415  PEL/BBR,1761210649,1761210652,1905,0,0
1761193140_2..S,025900_2..S,2,1,1761193140,/2 0419  241/FLA,1761214219,1761214222,522,1,0
1761193140_2..S08R,025900_2..S08R,2,1,1761193140,/2 0419  241/FLA,1761212662,1761212665,2586,0,0
1761193290_4..S13R,026150_4..S13R,4,1,1761193290,04 0421+ WDL/NLT,1761213049,1761213052,2603,0,0
1761193320_5..S32R,026200_5..S32R,5,1,1761193320,05 0422  DYR/180,1761208372,1761208375,930,0,0
1761193350_7..S,026250_7..S,7,1,1761193350,07 0422+ WPT/34H,1761210394,1761210397,1623,0,0
1761193380_5..N32R,026300_5..N32R,5,0,1761193380,05 0423  180/DYR,1761208534,1761208537,989,0,0
1761193470_1..N03R,026450_1..N03R,1,0,1761193470,01 0424+ SFT/242,1761211246,1761211249,1881,0,0
1761193500_7..N,026500_7..N,7,0,1761193500,07 0425 34H/G-C,1761208225,1761208228,734,0,0
1761193530_1..S03R,026550_1..S03R,1,1,1761193530,01 0425+ 242/SFT,1761211336,1761211339,2008,0,0
