trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1764306060_4..N01R,030100_4..N01R,4,0,1764306060,04 0501  NLT/WDL,1764329105,1764329111,1970,0,0
1764306090_3..S01R,030150_3..S01R,3,1,1764306090,03 0501+ 148/NLT,1764327737,1764327740,1550,0,0
1764306180_5..N32R,030300_5..N32R,5,0,1764306180,05 0503  180/DYR,1764324875,1764324881,742,0,0
1764306330_3..N90R,030550_3..N90R,3,0,1764306330,03 0505+ 34S/148,1764325694,1764325697,880,0,0
1764306330_6..S01R,030550_6..S01R,6,1,1764306330,06 0505+ PEL/BBR,1764327719,1764327722,1464,0,0
1764306360_2..N08R,030600_2..N08R,2,0,1764306360,02 0506  FLA/241,1764330599,1764330602,2347,0,0
1764306360_4..S05R,030600_4..S05R,4,1,1764306360,04 0506  WDL/UTI,1764328442,1764328445,1695,0,0
1764306540_1..S03R,030900_1..S03R,1,1,1764306540,01 0509  242/SFT,1764327887,1764327890,1519,0,0
1764306540_2..S01R,030900_2..S01R,2,1,1764306540,02 0509  241/FLA,1764330263,1764330266,2163,0,0
1764306540_7..N,030900_7..N,7,0,1764306540,07 0509 34H/MST,1764326741,1764326744,1081,0,0
1764306570_7..S,030950_7..S,7,1,1764306570,07 0509+ MST/34H,1764326567,1764326570,1035,0,0
1764306630_6..N01R,031050_6..N01R,6,0,1764306630,06 0510+ BBR/PEL,1764328037,1764328040,1487,0,0
1764306720_5..S03R,031200_5..S03R,5,1,1764306720,05 0512  DYR/FLA,1764329777,1764329780,2008,0,0
1764306750_3..S88R,031250_3..S88R,3,1,1764306750,03 0512+ 148/34S,1764326126,1764326129,915,0,0
1764306750_5..S02R,031250_5..S02R,5,1,1764306750,05 0512+ 180/FLA,1764328807,1764328811,1678,0,0
1764306780_4..N01R,031300_4..N01R,4,0,1764306780,04 0513  NLT/WDL,1764329618,1764329621,1958,0,0
1764306780_6..S01R,031300_6..S01R,6,1,1764306780,06 0513  PEL/BBR,1764328175,1764328181,1532,0,0
1764306840_4..S06R,031400_4..S06R,4,1,1764306840,04 0514  WDL/UTI,1764328580,1764328586,1655,0,0
1764306870_1..N03R,031450_1..N03R,1,0,1764306870,01 0514+ SFT/242,1764328139,1764328142,1440,0,0
1764307020_1..S03R,031700_1..S03R,1,1,1764307020,01 0517  242/SFT,1764328327,1764328331,1499,0,0
1764307050_3..S01R,031750_3..S01R,3,1,1764307050,03 0517+ 148/NLT,1764329465,1764329471,1831,0,0
1764307050_7..S,031750_7..S,7,1,1764307050,07 0517+ MST/34H,1764327014,1764327017,1020,0,0
1764307170_6..S01R,031950_6..S01R,6,1,1764307170,06 0519+ PEL/BBR,1764328604,1764328607,1502,0,0
1764307260_2..N01R,032100_2..N01R,2,0,1764307260,02 0521  FLA/241,1764330830,1764330834,2183,0,0
1764307260_2..S01R,032100_2..S01R,2,1,1764307260,02 0521  241/FLA,1764331220,1764331224,2310,0,0
1764307320_4..S06R,032200_4..S06R,4,1,1764307320,04 0522  WDL/UTI,1764328919,1764328922,1598,0,0
1764307380_5..N32R,032300_5..N32R,5,0,1764307380,05 0523  180/DYR,1764326285,1764326291,797,0,0
1764307410_7..S,032350_7..S,7,1,1764307410,07 0523+ MST/34H,1764327407,1764327410,1091,0,0
1764307440_5..S03R,032400_5..S03R,5,1,1764307440,05 0524  DYR/FLA,1764330371,1764330374,2031,0,0
1764307500_1..S03R,032500_1..S03R,1,1,1764307500,01 0525  242/SFT,1764329075,1764329081,1562,0,0
1764307500_4..N01R,032500_4..N01R,4,0,1764307500,04 0525  NLT/WDL,1764330401,1764330404,1961,0,0
1764307530_3..N,032550_3..N,3,0,1764307530,03 0525+ 34S/148,1764327089,1764327092,310,0,0
1764307530_3..N90R,032550_3..N90R,3,0,1764307530,03 0525+ 34S/148,1764325865,1764325871,606,0,0
1764307530_7..N,032550_7..N,7,0,1764307530,07 0525+ 34H/MST,1764327592,1764327596,1093,0,0
1764307560_6..N01R,032600_6..N01R,6,0,1764307560,06 0526  BBR/PEL,1764329150,1764329156,1582,0,0
1764307620_6..S01R,032700_6..S01R,6,1,1764307620,06 0527  PEL/BBR,1764329096,1764329099,1567,0,0
1764307770_4..S37R,032950_4..S37R,4,1,1764307770,04 0529+ WDL/BWG,1764328562,1764328565,1330,0,0
1764307770_7..S,032950_7..S,7,1,1764307770,07 0529+ MST/34H,1764327772,1764327776,1081,0,0
1764307890_2..S01R,033150_2..S01R,2,1,1764307890,02 0531+ 241/FLA,1764331700,1764331704,2289,0,0
1764307920_3..S01R,033200_3..S01R,3,1,1764307920,03 0532  148/NLT,1764329981,1764329984,1748,0,0
1764307920_5..S03R,033200_5..S03R,5,1,1764307920,05 0532  DYR/FLA,1764330671,1764330674,1971,0,0
1764307980_1..S03R,033300_1..S03R,1,1,1764307980,01 0533  242/SFT,1764329369,1764329372,1565,0,0
1764308010_4..N01R,033350_4..N01R,4,0,1764308010,04 0533+ NLT/WDL,1764330740,1764330745,1994,0,0
1764308040_6..S01R,033400_6..S01R,6,1,1764308040,06 0534  PEL/BBR,1764329459,1764329462,1588,0,0
1764308070_1..N03R,033450_1..N03R,1,0,1764308070,01 0534+ SFT/242,1764329300,1764329303,1465,0,0
1764308070_2..N01R,033450_2..N01R,2,0,1764308070,02 0534+ FLA/241,1764332210,1764332214,2343,0,0
1764308100_7..N,033500_7..N,7,0,1764308100,07 0535 34H/MST,1764328265,1764328267,1182,0,0
1764308250_7..S,033750_7..S,7,1,1764308250,07 0537+ MST/34H,1764328250,1764328252,1097,0,0
1764308280_4..S06R,033800_4..S06R,4,1,1764308280,04 0538  WDL/UTI,1764329909,1764329912,1644,0,0
1764308280_6..N01R,033800_6..N01R,6,0,1764308280,06 0538  BBR/PEL,1764329939,1764329942,1653,0,0
1764308310_3..N01R,033850_3..N01R,3,0,1764308310,03 0538+ NLT/148,1764330860,1764330864,1952,0,0
1764308460_1..S03R,034100_1..S03R,1,1,1764308460,01 0541  242/SFT,1764329801,1764329804,1533,0,0
1764308460_6..S01R,034100_6..S01R,6,1,1764308460,06 0541  PEL/BBR,1764329981,1764329984,1587,0,0
1764308490_2..S01R,034150_2..S01R,2,1,1764308490,02 0541+ 241/FLA,1764332129,1764332135,2111,0,0
1764308490_4..N02R,034150_4..N02R,4,0,1764308490,04 0541+ NLT/WDL,1764331301,1764331304,2013,0,0
1764308520_5..S03R,034200_5..S03R,5,1,1764308520,05 0542  DYR/FLA,1764331580,1764331584,2094,0,0
1764308580_5..N01R,034300_5..N01R,5,0,1764308580,05 0543  180/DYR,1764327227,1764327230,741,0,0
1764308610_7..S,034350_7..S,7,1,1764308610,07 0543+ MST/34H,1764328634,1764328637,1139,0,0
1764308700_4..S06R,034500_4..S06R,4,1,1764308700,04 0545  WDL/UTI,1764330263,1764330266,1574,0,0
1764308760_3..N90R,034600_3..N90R,3,0,1764308760,03 0546  34S/148,1764328319,1764328322,1015,0,0
1764308760_3..S01R,034600_3..S01R,3,1,1764308760,03 0546  148/NLT,1764330680,1764330685,1733,0,0
1764308820_7..N,034700_7..N,7,0,1764308820,07 0547 34H/MST,1764329045,1764329051,1179,0,0
1764308850_5..N60R,034750_5..N60R,5,0,1764308850,05 0547+ NLT/DYR,1764332339,1764332345,2219,0,0
1764308910_1..N03R,034850_1..N03R,1,0,1764308910,01 0548+ SFT/242,1764330320,1764330323,1614,0,0
1764308910_6..S01R,034850_6..S01R,6,1,1764308910,06 0548+ PEL/BBR,1764330533,1764330536,1684,0,0
1764308940_1..S03R,034900_1..S03R,1,1,1764308940,01 0549  242/SFT,1764330263,1764330266,1592,0,0
1764308970_7..S,034950_7..S,7,1,1764308970,07 0549+ MST/34H,1764329057,1764329060,1181,0,0
1764309000_5..S03R,035000_5..S03R,5,1,1764309000,05 0550  DYR/FLA,1764331970,1764331974,2040,0,0
1764309000_6..N01R,035000_6..N01R,6,0,1764309000,06 0550  BBR/PEL,1764330470,1764330473,1583,0,0
1764309000_GS.N01R,035000_GS.N01R,GS,0,1764309000,0S 0550  GCS/TSS,1764327089,1764327092,535,0,0
1764309060_2..S01R,035100_2..S01R,2,1,1764309060,02 0551  241/FLA,1764332951,1764332954,2302,0,0
1764309180_2..N01R,035300_2..N01R,2,0,1764309180,02 0553  FLA/241,1764333290,1764333294,1979,0,0
1764309210_4..N02R,035350_4..N02R,4,0,1764309210,04 0553+ NLT/WDL,1764331901,1764331904,1999,0,0
1764309210_7..S,035350_7..S,7,1,1764309210,07 0553+ MST/34H,1764329336,1764329339,1216,0,0
1764309210_GS.S01R,035350_GS.S01R,GS,1,1764309210,0S 0553+ TSS/GCS,1764327269,1764327272,595,0,0
1764309240_4..S06R,035400_4..S06R,4,1,1764309240,04 0554  WDL/UTI,1764330790,1764330821,1693,0,0
1764309270_4..N14R,035450_4..N14R,4,0,1764309270,04 0554+ BWG/WDL,1764330263,1764330266,1349,0,0
1764309300_7..N,035500_7..N,7,0,1764309300,07 0555 34H/MST,1764329432,1764329435,1233,0,0
