trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1762837200_GS.N01R,030000_GS.N01R,GS,0,1762837200,0S 0500  GCS/TSS,1762855263,1762855269,526,0,0
1762837230_7..N,030050_7..N,7,0,1762837230,07 0500+ WPT/34H,1762854806,1762854810,3,0,0
1762837230_7..S,030050_7..S,7,1,1762837230,07 0500+ WPT/34H,1762857105,1762857108,819,0,0
1762837260_4..N01R,030100_4..N01R,4,0,1762837260,04 0501  NLT/WDL,1762860348,1762860351,1933,0,0
1762837290_3..S01R,030150_3..S01R,3,1,1762837290,/3 0501+ 148/NLT,1762861128,1762861134,1552,0,0
1762837380_5..N32R,030300_5..N32R,5,0,1762837380,05 0503  180/DYR,1762856109,1762856115,778,0,0
1762837410_GS.S01R,030350_GS.S01R,GS,1,1762837410,0S 0503+ TSS/GCS,1762855464,1762855470,587,0,0
1762837500_7..N,030500_7..N,7,0,1762837500,07 0505 34H/MST,1762857681,1762857684,1192,0,0
1762837530_3..N90R,030550_3..N90R,3,0,1762837530,03 0505+ 34S/148,1762857060,1762857063,961,0,0
1762837530_6..S01R,030550_6..S01R,6,1,1762837530,06 0505+ PEL/BBR,1762859109,1762859115,1543,0,0
1762837560_4..S,030600_4..S,4,1,1762837560,04 0506  WDL/UTI,1762859844,1762859850,725,0,0
1762837560_4..S05R,030600_4..S05R,4,1,1762837560,04 0506  WDL/UTI,1762856925,1762856928,945,0,0
1762837740_1..S03R,030900_1..S03R,1,1,1762837740,01 0509  242/SFT,1762859304,1762859310,1595,0,0
1762837740_2..S01R,030900_2..S01R,2,1,1762837740,02 0509  241/FLA,1762861944,1762861950,2302,0,0
1762837770_7..S,030950_7..S,7,1,1762837770,07 0509+ MST/34H,1762857921,1762857924,1188,0,0
1762837800_GS.N01R,031000_GS.N01R,GS,0,1762837800,0S 0510  GCS/TSS,1762855860,1762855863,559,0,0
1762837830_2..S08X039,031050_2..S08X039,2,1,1762837830,02 0510+ ATL/FLA,1762857021,1762857024,897,0,0
1762837890_3..S88R,031150_3..S88R,3,1,1762837890,03 0511+ 148/34S,1762857153,1762857156,936,0,0
1762837920_5..S03R,031200_5..S03R,5,1,1762837920,05 0512  DYR/FLA,1762861350,1762861353,2024,0,0
1762837950_5..S,031250_5..S,5,1,1762837950,05 0512+ 180/FLA,1762860369,1762860375,748,0,0
1762837950_5..S02R,031250_5..S02R,5,1,1762837950,05 0512+ 180/FLA,1762857150,1762857153,935,0,0
1762837980_4..N01R,031300_4..N01R,4,0,1762837980,04 0513  NLT/WDL,1762860699,1762860705,1851,0,0
1762837980_6..S01R,031300_6..S01R,6,1,1762837980,06 0513  PEL/BBR,1762859406,1762859409,1547,0,0
1762838010_GS.S01R,031350_GS.S01R,GS,1,1762838010,0S 0513+ TSS/GCS,1762856079,1762856081,629,0,0
1762838040_4..S06R,031400_4..S06R,4,1,1762838040,04 0514  WDL/UTI,1762860570,1762860573,1848,0,0
1762838070_1..N03R,031450_1..N03R,1,0,1762838070,01 0514+ SFT/242,1762859490,1762859493,1493,0,0
1762838100_6..N01R,031500_6..N01R,6,0,1762838100,06 0515  BBR/PEL,1762859628,1762859631,2146,0,0
1762838160_7..S,031600_7..S,7,1,1762838160,07 0516 MST/34H,1762858215,1762858218,1169,0,0
1762838220_1..S03R,031700_1..S03R,1,1,1762838220,01 0517  242/SFT,1762859559,1762859565,1512,0,0
1762838250_3..S01R,031750_3..S01R,3,1,1762838250,03 0517+ 148/NLT,1762861410,1762861413,1943,0,0
1762838370_6..S01R,031950_6..S01R,6,1,1762838370,06 0519+ PEL/BBR,1762859874,1762859880,1514,0,0
1762838400_GS.N01R,032000_GS.N01R,GS,0,1762838400,0S 0520  GCS/TSS,1762856466,1762856469,409,0,0
1762838460_2..N,032100_2..N,2,0,1762838460,02 0521  FLA/241,1762862634,1762862640,939,0,0
1762838460_2..N01R,032100_2..N01R,2,0,1762838460,02 0521  FLA/241,1762858485,1762858488,1144,0,0
1762838520_4..S06R,032200_4..S06R,4,1,1762838520,04 0522  WDL/UTI,1762860765,1762860768,1735,0,0
1762838580_5..N32R,032300_5..N32R,5,1,1762838580,05 0523  180/DYR,1762857495,1762857498,845,0,0
1762838610_GS.S01R,032350_GS.S01R,GS,1,1762838610,0S 0523+ TSS/GCS,1762856673,1762856676,642,0,0
1762838640_5..S03R,032400_5..S03R,5,1,1762838640,05 0524  DYR/FLA,1762861623,1762861629,1925,0,0
1762838700_1..S03R,032500_1..S03R,1,1,1762838700,01 0525  242/SFT,1762860270,1762860273,1528,0,0
1762838700_4..N01R,032500_4..N01R,4,0,1762838700,04 0525  NLT/WDL,1762862124,1762862130,1947,0,0
1762838700_7..N,032500_7..N,7,0,1762838700,07 0525 34H/MST,1762858794,1762858800,1196,0,0
1762838730_3..N90R,032550_3..N90R,3,0,1762838730,03 0525+ 34S/148,1762858146,1762858149,968,0,0
1762838790_7..S,032650_7..S,7,1,1762838790,07 0526+ MST/34H,1762858941,1762858944,1209,0,0
1762838970_4..S37R,032950_4..S37R,4,1,1762838970,04 0529+ WDL/BWG,1762859976,1762859979,1365,0,0
1762839000_6..S01R,033000_6..S01R,6,1,1762839000,06 0530  PEL/BBR,1762860393,1762860396,1172,0,0
1762839000_GS.N01R,033000_GS.N01R,GS,0,1762839000,0S 0530  GCS/TSS,1762857066,1762857069,577,0,0
1762839090_2..S01R,033150_2..S01R,2,1,1762839090,02 0531+ 241/FLA,1762862838,1762862844,2067,0,0
1762839120_3..S01R,033200_3..S01R,3,0,1762839120,03 0532  148/NLT,1762862019,1762862025,1834,0,0
1762839120_5..S03R,033200_5..S03R,5,1,1762839120,05 0532  DYR/FLA,1762862274,1762862280,1892,0,0
1762839180_1..S03R,033300_1..S03R,1,1,1762839180,01 0533  242/SFT,1762860489,1762860495,1496,0,0
1762839210_4..N01R,033350_4..N01R,4,0,1762839210,04 0533+ NLT/WDL,1762862823,1762862829,1819,0,0
1762839210_GS.S01R,033350_GS.S01R,GS,1,1762839210,0S 0533+ TSS/GCS,1762857273,1762857276,638,0,0
1762839270_1..N03R,033450_1..N03R,1,0,1762839270,01 0534+ SFT/242,1762860570,1762860573,1423,0,0
1762839270_2..N01R,033450_2..N01R,2,0,1762839270,02 0534+ FLA/241,1762856925,1762857003,445,0,0
1762839420_7..N,033700_7..N,7,0,1762839420,07 0537 34H/MST,1762859490,1762859493,1096,0,0
1762839450_7..S,033750_7..S,7,1,1762839450,07 0537+ MST/34H,1762859529,1762859535,1107,0,0
1762839480_4..S06R,033800_4..S06R,4,1,1762839480,04 0538  WDL/UTI,1762861206,1762861209,1568,0,0
1762839480_6..N01R,033800_6..N01R,6,0,1762839480,06 0538  BBR/PEL,1762861389,1762861395,1607,0,0
1762839510_3..N01R,033850_3..N01R,3,0,1762839510,03 0538+ NLT/148,1762861623,1762861629,1657,0,0
1762839600_GS.N01R,034000_GS.N01R,GS,0,1762839600,0S 0540  GCS/TSS,1762857666,1762857669,567,0,0
1762839660_1..S03R,034100_1..S03R,1,1,1762839660,01 0541  242/SFT,1762860978,1762860984,1424,0,0
1762839660_6..S01R,034100_6..S01R,6,1,1762839660,06 0541  PEL/BBR,1762861344,1762861350,1508,0,0
1762839690_2..S01R,034150_2..S01R,2,1,1762839690,02 0541+ 241/FLA,1762863339,1762863345,1926,0,0
1762839690_4..N02R,034150_4..N02R,4,0,1762839690,04 0541+ NLT/WDL,1762863438,1762863444,1885,0,0
1762839720_5..S03R,034200_5..S03R,5,1,1762839720,05 0542  DYR/FLA,1762862583,1762862589,1772,0,0
1762839780_5..N01R,034300_5..N01R,5,0,1762839780,05 0543  180/DYR,1762858665,1762858668,834,0,0
1762839810_7..S,034350_7..S,7,1,1762839810,07 0543+ MST/34H,1762859943,1762859946,1136,0,0
1762839810_GS.S01R,034350_GS.S01R,GS,1,1762839810,0S 0543+ TSS/GCS,1762857885,1762857888,627,0,0
1762839900_2..N08R,034500_2..N08R,2,0,1762839900,/2 0545  CHB/241,1762862343,1762862349,1103,0,0
1762839900_4..S06R,034500_4..S06R,4,1,1762839900,04 0545  WDL/UTI,1762861599,1762861605,1472,0,0
1762839960_3..N90R,034600_3..N90R,3,0,1762839960,03 0546  34S/148,1762859550,1762859553,891,0,0
1762839960_3..S01R,034600_3..S01R,3,1,1762839960,03 0546  148/NLT,1762862394,1762862400,1644,0,0
1762840020_7..N,034700_7..N,7,0,1762840020,07 0547 34H/MST,1762860129,1762860135,1096,0,0
1762840050_5..N60R,034750_5..N60R,5,0,1762840050,05 0547+ NLT/DYR,1762863690,1762863693,1908,0,0
1762840110_1..N03R,034850_1..N03R,1,0,1762840110,01 0548+ SFT/242,1762861410,1762861413,1431,0,0
1762840110_6..S01R,034850_6..S01R,6,1,1762840110,06 0548+ PEL/BBR,1762861809,1762861815,1518,0,0
1762840140_1..S03R,034900_1..S03R,1,1,1762840140,01 0549  242/SFT,1762861449,1762861455,1439,0,0
1762840140_2..N01R,034900_2..N01R,2,0,1762840140,02 0549  FLA/241,1762864029,1762864035,1978,0,0
1762840170_7..S,034950_7..S,7,1,1762840170,07 0549+ MST/34H,1762860384,1762860390,1161,0,0
1762840200_5..S03R,035000_5..S03R,5,1,1762840200,05 0550  DYR/FLA,1762863099,1762863105,1701,0,0
1762840200_6..N01R,035000_6..N01R,6,0,1762840200,06 0550  BBR/PEL,1762862343,1762862349,1549,0,0
1762840200_GS.N01R,035000_GS.N01R,GS,0,1762840200,0S 0550  GCS/TSS,1762858314,1762858320,805,0,0
1762840260_2..S01R,035100_2..S01R,2,1,1762840260,02 0551  241/FLA,1762863849,1762863855,1856,0,0
1762840410_4..N02R,035350_4..N02R,4,0,1762840410,04 0553+ NLT/WDL,1762863639,1762863645,1812,0,0
1762840410_GS.S01R,035350_GS.S01R,GS,1,1762840410,0S 0553+ TSS/GCS,1762858488,1762858491,612,0,0
1762840440_4..S06R,035400_4..S06R,4,1,1762840440,04 0554  WDL/UTI,1762862268,1762862274,1534,0,0
1762840440_7..S,035400_7..S,7,1,1762840440,07 0554 MST/34H,1762860555,1762860558,1128,0,0
1762840500_7..N,035500_7..N,7,0,1762840500,07 0555 34H/MST,1762860744,1762860750,1134,0,0
1762840500_GS.N04R,035500_GS.N04R,GS,0,1762840500,0S 0555  GCS/TSS,1762858599,1762858605,555,0,0
1762840560_6..S01R,035600_6..S01R,6,1,1762840560,06 0556  PEL/BBR,1762862073,1762862079,1403,0,0
1762840620_1..S03R,035700_1..S03R,1,1,1762840620,01 0557  242/SFT,1762861884,1762861890,1361,0,0
1762840680_7..S,035800_7..S,7,1,1762840680,07 0558 MST/34H,1762860768,1762860774,1092,0,0
1762840710_3..N01R,035850_3..N01R,3,0,1762840710,03 0558+ NLT/148,1762858905,1762858908,636,0,0
1762840710_GS.S04R,035850_GS.S04R,GS,1,1762840710,0S 0558+ TSS/GCS,1762858791,1762858794,606,0,0
1762840740_3..S01R,035900_3..S01R,3,1,1762840740,03 0559  148/NLT,1762863039,1762863045,1601,0,0
1762840770_4..S06R,035950_4..S06R,4,1,1762840770,04 0559+ WDL/UTI,1762862649,1762862655,1437,0,0
1762840800_6..N01R,036000_6..N01R,6,0,1762840800,06 0600  BBR/PEL,1762862724,1762862730,1452,0,0
1762840800_GS.N01R,036000_GS.N01R,GS,0,1762840800,0S 0600  GCS/TSS,1762858884,1762858890,545,0,0
1762840830_2..S07R,036050_2..S07R,2,1,1762840830,02 0600+ 238/FLA,1762864479,1762864485,1816,0,0
1762840860_2..N01R,036100_2..N01R,2,0,1762840860,02 0601  FLA/241,1762864440,1762864443,1806,0,0
1762840890_1..N03R,036150_1..N03R,1,0,1762840890,01 0601+ SFT/242,1762862334,1762862340,1374,0,0
1762840890_3..N01R,036150_3..N01R,3,0,1762840890,03 0601+ NLT/148,1762862808,1762862814,920,0,0
1762840920_5..S04R,036200_5..S04R,5,1,1762840920,05 0602  DYR/FLA,1762863618,1762863624,1635,0,0
1762840920_7..N,036200_7..N,7,0,1762840920,07 0602 34H/MST,1762861020,1762861023,1062,0,0
1762840920_7..S,036200_7..S,7,1,1762840920,07 0602 MST/34H,1762861029,1762861035,1064,0,0
1762840980_5..N01R,036300_5..N01R,5,0,1762840980,05 0603  180/DYR,1762859799,1762859805,789,0,0
1762841010_GS.S01R,036350_GS.S01R,GS,1,1762841010,0S 0603+ TSS/GCS,1762859061,1762859064,592,0,0
1762841040_5..N71R,036400_5..N71R,5,0,1762841040,05 0604  FLA/DYR,1762864320,1762864323,1779,0,0
1762841070_4..S06R,036450_4..S06R,4,1,1762841070,04 0604+ WDL/UTI,1762862913,1762862919,1404,0,0
1762841100_1..S03R,036500_1..S03R,1,1,1762841100,01 0605  242/SFT,1762862334,1762862340,1288,0,0
1762841100_2..S05R,036500_2..S05R,2,1,1762841100,02 0605  241/FLA,1762864629,1762864635,1760,0,0
1762841100_GS.N04R,036500_GS.N04R,GS,0,1762841100,0S 0605  GCS/TSS,1762859175,1762859178,536,0,0
1762841160_7..S,036600_7..S,7,1,1762841160,07 0606 MST/34H,1762861518,1762861524,1138,0,0
1762841250_4..N03R,036750_4..N03R,4,0,1762841250,04 0607+ NLT/WDL,1762864020,1762864023,1632,0,0
1762841280_3..S01R,036800_3..S01R,3,1,1762841280,03 0608  148/NLT,1762863438,1762863444,1512,0,0
1762841280_7..N,036800_7..N,7,0,1762841280,07 0608 34H/MST,1762861329,1762861335,1013,0,0
1762841310_GS.S04R,036850_GS.S04R,GS,1,1762841310,0S 0608+ TSS/GCS,1762859379,1762859385,591,0,0
1762841340_3..N42R,036900_3..N42R,3,0,1762841340,03 0609  TSQ/148,1762860969,1762860975,450,0,0
1762841340_6..S02R,036900_6..S02R,6X,1,1762841340,06 0609  PEL/BBR,1762862553,1762862559,1332,0,0
1762841400_2..S05R,037000_2..S05R,2,1,1762841400,02 0610  241/FLA,1762864998,1762865004,1748,0,0
1762841400_6..S03R,037000_6..S03R,6,1,1762841400,06 0610  177/BBR,1762862355,1762862358,1197,0,0
1762841400_7..S,037000_7..S,7,1,1762841400,07 0610 MST/34H,1762861680,1762861683,1089,0,0
1762841400_GS.N01R,037000_GS.N01R,GS,0,1762841400,0S 0610  GCS/TSS,1762859499,1762859505,536,0,0
1762841430_4..N14R,037050_4..N14R,4,0,1762841430,E4 0610+ BWG/WDL,1762862394,1762862400,751,0,0
1762841430_4..S06R,037050_4..S06R,4,1,1762841430,04 0610+ WDL/UTI,1762863213,1762863219,1379,0,0
1762841430_6..N01R,037050_6..N01R,6,0,1762841430,06 0610+ BBR/PEL,1762862889,1762862895,1312,0,0
1762841490_1..N03R,037150_1..N03R,1,0,1762841490,01 0611+ SFT/242,1762862868,1762862874,1308,0,0
1762841520_2..N01R,037200_2..N01R,2,0,1762841520,02 0612  FLA/241,1762865370,1762865374,1819,0,0
1762841520_7..N,037200_7..N,7,0,1762841520,07 0612 34H/MST,1762934414,1762934420,16393,0,0
1762841580_1..S03R,037300_1..S03R,1,1,1762841580,01 0613  242/SFT,1762862910,1762862913,1316,0,0
1762841580_7..S,037300_7..S,7,1,1762841580,07 0613 MST/34H,1762861830,1762861833,667,0,0
1762841610_GS.S01R,037350_GS.S01R,GS,1,1762841610,0S 0613+ TSS/GCS,1762859658,1762859661,578,0,0
1762841640_5..S04R,037400_5..S04R,5,1,1762841640,05 0614  DYR/FLA,1762864809,1762864815,1710,0,0
1762841640_7..N,037400_7..N,7,0,1762841640,07 0614 34H/MST,1762862034,1762862040,556,0,0
1762841700_GS.N04R,037500_GS.N04R,GS,0,1762841700,0S 0615  GCS/TSS,1762859775,1762859778,526,0,0
1762841730_5..S09R,037550_5..S09R,5,1,1762841730,05 0615+ 238/FLA,1762865280,1762865284,1729,0,0
1762841760_5..N71R,037600_5..N71R,5,0,1762841760,05 0616  FLA/DYR,1762865269,1762865274,1688,0,0
1762841760_7..N,037600_7..N,7,0,1762841760,07 0616 34H/MST,1762934414,1762934420,16393,0,0
1762841790_4..S06R,037650_4..S06R,4,1,1762841790,04 0616+ WDL/UTI,1762864035,1762864038,1465,0,0
1762841880_3..S01R,037800_3..S01R,3,1,1762841880,03 0618  148/NLT,1762863990,1762863993,1456,0,0
1762841880_6..S02R,037800_6..S02R,6X,1,1762841880,06 0618  PEL/BBR,1762863255,1762863258,1304,0,0
1762841910_GS.S04R,037850_GS.S04R,GS,1,1762841910,0S 0618+ TSS/GCS,1762859976,1762859979,579,0,0
1762841940_4..N03R,037900_4..N03R,4,0,1762841940,04 0619  NLT/WDL,1762864719,1762864725,1608,0,0
1762841940_6..S03R,037900_6..S03R,6,1,1762841940,06 0619  177/BBR,1762863114,1762863120,1275,0,0
1762842000_6..N01R,038000_6..N01R,6,0,1762842000,06 0620  BBR/PEL,1762863450,1762863453,1823,0,0
1762842000_7..N,038000_7..N,7,0,1762842000,07 0620 34H/MST,1762862154,1762862160,1046,0,0
1762842000_7..S,038000_7..S,7,1,1762842000,07 0620 MST/34H,1762862499,1762862505,811,0,0
1762842000_GS.N01R,038000_GS.N01R,GS,0,1762842000,0S 0620  GCS/TSS,1762860081,1762860084,525,0,0
1762842060_1..S03R,038100_1..S03R,1,1,1762842060,01 0621  242/SFT,1762863468,1762863474,1268,0,0
1762842060_2..S05R,038100_2..S05R,2,1,1762842060,02 0621  241/FLA,1762866199,1762866204,1848,0,0
1762842060_2..S07R,038100_2..S07R,2,1,1762842060,02 0621  238/FLA,1762865889,1762865895,1780,0,0
1762842090_1..N03R,038150_1..N03R,1,0,1762842090,01 0621+ SFT/242,1762863690,1762863693,1314,0,0
1762842180_5..N01R,038300_5..N01R,5,0,1762842180,05 0623  180/DYR,1762860939,1762860945,731,0,0
1762842180_7..S,038300_7..S,7,1,1762842180,07 0623 111/34H,1762862094,1762862100,946,0,0
1762842210_7..S,038350_7..S,7,1,1762842210,07 0623+ MST/34H,1762862598,1762862604,1023,0,0
1762842210_GS.S01R,038350_GS.S01R,GS,1,1762842210,0S 0623+ TSS/GCS,1762860264,1762860270,572,0,0
1762842240_4..S06R,038400_4..S06R,4,1,1762842240,04 0624  WDL/UTI,1762864284,1762864290,879,0,0
1762842240_7..N,038400_7..N,7,0,1762842240,07 0624 34H/MST,1762862364,1762862370,1014,0,0
1762842300_3..N01R,038500_3..N01R,3,0,1762842300,03 0625  NLT/148,1762864359,1762864365,1372,0,0
1762842300_GS.N04R,038500_GS.N04R,GS,0,1762842300,0S 0625  GCS/TSS,1762860393,1762860396,525,0,0
1762842360_5..S04R,038600_5..S04R,5,1,1762842360,05 0626  DYR/FLA,1762865419,1762865424,1601,0,0
1762842420_6..S02R,038700_6..S02R,6X,1,1762842420,06 0627  PEL/BBR,1762863780,1762863783,1253,0,0
1762842450_4..N14R,038750_4..N14R,4,0,1762842450,04 0627+ BWG/WDL,1762863789,1762863795,1255,0,0
1762842480_3..S01R,038800_3..S01R,3,1,1762842480,03 0628  148/NLT,1762864440,1762864443,1391,0,0
1762842480_5..N71R,038800_5..N71R,5,0,1762842480,05 0628  FLA/DYR,1762865929,1762865934,1709,0,0
1762842480_6..S03R,038800_6..S03R,6,1,1762842480,06 0628  177/BBR,1762863414,1762863420,1178,0,0
1762842480_7..N,038800_7..N,7,0,1762842480,07 0628 34H/MST,1762862703,1762862709,1002,0,0
1762842510_GS.S04R,038850_GS.S04R,GS,1,1762842510,0S 0628+ TSS/GCS,1762860603,1762860609,577,0,0
1762842540_1..S03R,038900_1..S03R,1,1,1762842540,01 0629  242/SFT,1762863939,1762863945,1287,0,0
1762842570_2..S05R,038950_2..S05R,2,1,1762842570,02 0629+ 241/FLA,1762866639,1762866645,1779,0,0
1762842570_6..N01R,038950_6..N01R,6,0,1762842570,06 0629+ BBR/PEL,1762864140,1762864143,1964,0,0
1762842570_7..S,038950_7..S,7,1,1762842570,07 0629+ MST/34H,1762862925,1762862928,1046,0,0
1762842600_GS.N01R,039000_GS.N01R,GS,0,1762842600,0S 0630  GCS/TSS,1762860693,1762860699,518,0,0
1762842690_1..N03R,039150_1..N03R,1,0,1762842690,01 0631+ SFT/242,1762864059,1762864065,1231,0,0
1762842720_4..S34R,039200_4..S34R,4,1,1762842720,04 0632  WDL/UTI,1762864593,1762864599,1344,0,0
1762842720_7..N,039200_7..N,7,0,1762842720,07 0632 34H/MST,1762862823,1762862829,978,0,0
1762842720_7..S,039200_7..S,7,1,1762842720,07 0632 MST/34H,1762863114,1762863120,1037,0,0
1762842780_7..S,039300_7..S,7,1,1762842780,07 0633 111/34H,1762862775,1762862778,968,0,0
1762842810_2..S07R,039350_2..S07R,2,1,1762842810,02 0633+ 238/FLA,1762866909,1762866915,1833,0,0
1762842810_GS.S01R,039350_GS.S01R,GS,1,1762842810,0S 0633+ TSS/GCS,1762860864,1762860870,556,0,0
1762842900_1..S03R,039500_1..S03R,1,1,1762842900,01 0635  242/SFT,1762864230,1762864233,1186,0,0
1762842900_2..N01R,039500_2..N01R,2,0,1762842900,02 0635  FLA/241,1762866489,1762866495,1669,0,0
1762842900_2..S05R,039500_2..S05R,2,1,1762842900,02 0635  241/FLA,1762867059,1762867065,1783,0,0
1762842900_6..S02R,039500_6..S02R,6X,1,1762842900,06 0635  PEL/BBR,1762864425,1762864428,1227,0,0
1762842900_GS.N04R,039500_GS.N04R,GS,0,1762842900,0S 0635  GCS/TSS,1762860984,1762860990,502,0,0
1762842960_7..N,039600_7..N,7,0,1762842960,07 0636 34H/WPT,1762862949,1762862955,937,0,0
1762842990_5..S04R,039650_5..S04R,5,1,1762842990,05 0636+ DYR/FLA,1762865790,1762865794,1520,0,0
1762842990_6..S03R,039650_6..S03R,6,1,1762842990,06 0636+ 177/BBR,1762864275,1762864278,1195,0,0
1762843020_4..S34R,039700_4..S34R,4,1,1762843020,04 0637  WDL/UTI,1762864818,1762864824,1310,0,0
1762843080_7..S,039800_7..S,7,1,1762843080,07 0638 MST/34H,1762863273,1762863279,970,0,0
1762843110_GS.S04R,039850_GS.S04R,GS,1,1762843110,0S 0638+ TSS/GCS,1762861179,1762861185,548,0,0
1762843140_6..N,039900_6..N,6,0,1762843140,/6 0639  BBR/PEL,1762865509,1762865514,130,0,0
