trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1764738030_7..S,030050_7..S,7,1,1764738030,07 0500+ WPT/34H,1764758256,1764758260,820,0,0
1764738060_4..N,030100_4..N,4,0,1764738060,04 0501  NLT/WDL,1764761214,1764761220,487,0,0
1764738060_4..N01R,030100_4..N01R,4,0,1764738060,04 0501  NLT/WDL,1764758271,1764758275,838,0,0
1764738090_3..S01R,030150_3..S01R,3,1,1764738090,03 0501+ 148/NLT,1764759714,1764759720,1127,0,0
1764738090_7..S,030150_7..S,7,1,1764738090,=7 0501+ CHS/34H,1764756816,1764756820,187,0,0
1764738180_5..N32R,030300_5..N32R,5,0,1764738180,05 0503  180/DYR,1764756951,1764756955,572,0,0
1764738330_3..N90R,030550_3..N90R,3,0,1764738330,03 0505+ 34S/148,1764757500,1764757506,624,0,0
1764738330_6..N01R,030550_6..N01R,6,0,1764738330,06 0505+ BBR/PEL,1764759900,1764759906,1105,0,0
1764738330_6..S01R,030550_6..S01R,6,1,1764738330,06 0505+ PEL/BBR,1764759720,1764759726,1068,0,0
1764738360_4..S05R,030600_4..S05R,4,1,1764738360,04 0506  WDL/UTI,1764760251,1764760254,1176,0,0
1764738480_7..S,030800_7..S,7,1,1764738480,=7 0508 CHS/34H,1764757480,1764757485,163,0,0
1764738540_1..S03R,030900_1..S03R,1,1,1764738540,01 0509  242/SFT,1764759999,1764760005,1125,0,0
1764738540_7..N,030900_7..N,7,0,1764738540,07 0509 34H/MST,1764758785,1764758790,856,0,0
1764738570_2..S01R,030950_2..S01R,2,1,1764738570,02 0509+ 241/FLA,1764762240,1764762243,1217,0,0
1764738570_7..S,030950_7..S,7,1,1764738570,07 0509+ MST/34H,1764758916,1764758920,882,0,0
1764738720_5..S03R,031200_5..S03R,5,1,1764738720,05 0512  DYR/FLA,1764761550,1764761556,1381,0,0
1764738750_3..S88R,031250_3..S88R,3,1,1764738750,03 0512+ 148/34S,1764758181,1764758185,700,0,0
1764738750_5..S02R,031250_5..S02R,5,1,1764738750,05 0512+ 180/FLA,1764760800,1764760806,1227,0,0
1764738780_4..N,031300_4..N,4,0,1764738780,04 0513  NLT/WDL,1764761754,1764761760,513,0,0
1764738780_4..N01R,031300_4..N01R,4,0,1764738780,04 0513  NLT/WDL,1764758715,1764758721,807,0,0
1764738780_6..S01R,031300_6..S01R,6,1,1764738780,06 0513  PEL/BBR,1764760260,1764760266,1118,0,0
1764738840_4..S06R,031400_4..S06R,4,1,1764738840,04 0514  WDL/UTI,1764760845,1764760851,1236,0,0
1764738870_1..N03R,031450_1..N03R,1,0,1764738870,01 0514+ SFT/242,1764760119,1764760125,1029,0,0
1764739020_1..S03R,031700_1..S03R,1,1,1764739020,01 0517  242/SFT,1764760329,1764760335,1072,0,0
1764739050_3..S01R,031750_3..S01R,3,1,1764739050,03 0517+ 148/NLT,1764760935,1764760941,1194,0,0
1764739050_7..S,031750_7..S,7,1,1764739050,07 0517+ MST/34H,1764759000,1764759006,812,0,0
1764739170_6..S01R,031950_6..S01R,6,1,1764739170,06 0519+ PEL/BBR,1764760584,1764760590,1064,0,0
1764739230_6..N01R,032050_6..N01R,6,0,1764739230,06 0520+ BBR/PEL,1764760944,1764760950,1136,0,0
1764739260_2..N01R,032100_2..N01R,2,0,1764739260,02 0521  FLA/241,1764762810,1764762813,1569,0,0
1764739260_2..S01R,032100_2..S01R,2,1,1764739260,02 0521  241/FLA,1764763260,1764763263,1708,0,0
1764739320_4..S06R,032200_4..S06R,4,1,1764739320,04 0522  WDL/UTI,1764761241,1764761244,1195,0,0
1764739380_5..N32R,032300_5..N32R,5,1,1764739380,05 0523  180/DYR,1764758200,1764758205,584,0,0
1764739410_7..S,032350_7..S,7,1,1764739410,07 0523+ MST/34H,1764759399,1764759405,780,0,0
1764739440_5..S03R,032400_5..S03R,5,1,1764739440,05 0524  DYR/FLA,1764762621,1764762624,1523,0,0
1764739500_1..S03R,032500_1..S03R,1,1,1764739500,01 0525  242/SFT,1764760854,1764760860,1057,0,0
1764739500_4..N,032500_4..N,4,0,1764739500,04 0525  NLT/WDL,1764762699,1764762705,575,0,0
1764739500_4..N01R,032500_4..N01R,4,0,1764739500,04 0525  NLT/WDL,1764760104,1764760110,905,0,0
1764739530_3..N90R,032550_3..N90R,3,0,1764739530,03 0525+ 34S/148,1764758940,1764758946,671,0,0
1764739530_7..N,032550_7..N,7,0,1764739530,07 0525+ 34H/MST,1764759819,1764759825,865,0,0
1764739620_6..S01R,032700_6..S01R,6,1,1764739620,06 0527  PEL/BBR,1764761256,1764761259,1137,0,0
1764739770_4..S37R,032950_4..S37R,4,1,1764739770,04 0529+ WDL/BWG,1764760569,1764760575,940,0,0
1764739770_7..S,032950_7..S,7,1,1764739770,07 0529+ MST/34H,1764759930,1764759936,835,0,0
1764739830_6..N01R,033050_6..N01R,6,0,1764739830,06 0530+ BBR/PEL,1764761610,1764761616,1152,0,0
1764739890_2..S01R,033150_2..S01R,2,1,1764739890,02 0531+ 241/FLA,1764763869,1764763875,1682,0,0
1764739920_3..S01R,033200_3..S01R,3,1,1764739920,03 0532  148/NLT,1764761925,1764761928,1222,0,0
1764739920_5..S03R,033200_5..S03R,5,1,1764739920,05 0532  DYR/FLA,1764762954,1764762960,1483,0,0
