trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1766206920_5..S32R,030200_5..S32R,5,1,1766206920,05 0502  DYR/180,1766225554,1766225560,532,0,0
1766206980_3..S88R,030300_3..S88R,3,1,1766206980,03 0503  148/34S,1766226535,1766226541,512,0,0
1766206980_5..N32R,030300_5..N32R,5,0,1766206980,05 0503  180/DYR,1766225710,1766225716,563,0,0
1766207010_1..S03R,030350_1..S03R,1,1,1766207010,01 0503+ 242/SFT,1766228431,1766228434,1112,0,0
1766207100_3..N90R,030500_3..N90R,3,0,1766207100,03 0505  34S/148,1766226520,1766226526,461,0,0
1766207310_4..N13R,030850_4..N13R,4,0,1766207310,04 0508+ NLT/WDL,1766230696,1766230701,1529,0,0
1766207340_6..S03R,030900_6..S03R,6,1,1766207340,06 0509  177/BBR,1766228365,1766228371,1038,0,0
1766207430_7..N,031050_7..N,7,0,1766207430,07 0510+ 34H/MST,1766227969,1766227975,892,0,0
1766207490_2..N08R,031150_2..N08R,2,0,1766207490,02 0511+ FLA/241,1766231605,1766231611,1697,0,0
1766207520_1..N03X038,031200_1..N03X038,1,0,1766207520,01 0512  SFT/242,1766229016,1766229019,1109,0,0
1766207550_6..N03R,031250_6..N03R,6,0,1766207550,06 0512+ BBR/177,1766228509,1766228515,1007,0,0
1766207550_7..S,031250_7..S,7,1,1766207550,07 0512+ MST/34H,1766227765,1766227771,851,0,0
1766207640_4..S41R,031400_4..S41R,4,1,1766207640,04 0514  WDL/UTI,1766230144,1766230150,1352,0,0
1766207940_2..S01R,031900_2..S01R,2,1,1766207940,02 0519  241/FLA,1766230705,1766230711,1411,0,0
1766208030_1..S03R,032050_1..S03R,1,1,1766208030,01 0520+ 242/SFT,1766229415,1766229421,1069,0,0
1766208060_3..S01R,032100_3..S01R,3,1,1766208060,03 0521  148/NLT,1766230386,1766230390,1026,0,0
1766208120_5..S01R,032200_5..S01R,5,1,1766208120,05 0522  DYR/180,1766226955,1766226961,576,0,0
1766208180_5..N32R,032300_5..N32R,5,0,1766208180,05 0523  180/DYR,1766227114,1766227120,608,0,0
1766208270_6..S03R,032450_6..S03R,6,1,1766208270,06 0524+ 177/BBR,1766229151,1766229154,1012,0,0
1766208300_3..N90R,032500_3..N90R,3,0,1766208300,03 0525  34S/148,1766227666,1766227669,463,0,0
1766208450_7..S,032750_7..S,7,1,1766208450,07 0527+ MST/34H,1766228704,1766228710,818,0,0
1766208510_4..N13R,032850_4..N13R,4,0,1766208510,04 0528+ NLT/WDL,1766232019,1766232021,1621,0,0
1766208630_7..N,033050_7..N,7,0,1766208630,07 0530+ 34H/MST,1766228860,1766228866,849,0,0
1766208690_2..N08R,033150_2..N08R,2,0,1766208690,02 0531+ FLA/241,1766232115,1766232121,1586,0,0
1766208720_1..N03X038,033200_1..N03X038,1,0,1766208720,01 0532  SFT/242,1766230120,1766230126,1093,0,0
1766208750_4..S06R,033250_4..S06R,4,1,1766208750,04 0532+ WDL/UTI,1766230306,1766230309,1136,0,0
1766208750_6..N03R,033250_6..N03R,6,0,1766208750,06 0532+ BBR/177,1766229781,1766229784,1024,0,0
1766208810_2..S01R,033350_2..S01R,2,1,1766208810,02 0533+ 241/FLA,1766232205,1766232211,1607,0,0
1766208900_5..S01R,033500_5..S01R,5,1,1766208900,05 0535  DYR/180,1766227624,1766227630,531,0,0
1766208960_1..S03R,033600_1..S03R,1,1,1766208960,01 0536  242/SFT,1766230285,1766230291,1083,0,0
1766209170_6..S03R,033950_6..S03R,6,1,1766209170,06 0539+ 177/BBR,1766230069,1766230075,963,0,0
1766209170_7..S,033950_7..S,7,1,1766209170,07 0539+ MST/34H,1766229406,1766229409,835,0,0
1766209200_5..N01R,034000_5..N01R,5,0,1766209200,05 0540  180/DYR,1766228164,1766228170,579,0,0
1766209200_5..S08R,034000_5..S08R,5,1,1766209200,05 0540  DYR/BWG,1766227210,1766227216,18,0,0
1766209230_5..S08R,034050_5..S08R,5,1,1766209230,05 0540+ DYR/BWG,1766231065,1766231071,1201,0,0
1766209260_3..S01R,034100_3..S01R,3,1,1766209260,03 0541  148/NLT,1766231016,1766231020,1188,0,0
1766209470_4..N01R,034450_4..N01R,4,0,1766209470,04 0544+ NLT/WDL,1766232156,1766232160,1415,0,0
1766209470_4..S06R,034450_4..S06R,4,1,1766209470,04 0544+ WDL/UTI,1766231110,1766231116,1152,0,0
1766209500_2..S01R,034500_2..S01R,2,1,1766209500,02 0545  241/FLA,1766233086,1766233090,1653,0,0
1766209500_3..N90R,034500_3..N90R,3,0,1766209500,03 0545  34S/148,1766229106,1766229109,707,0,0
1766209770_6..S,034950_6..S,6,1,1766209770,06 0549+ 177/BBR,1766231020,1766231026,170,0,0
1766209770_6..S03R,034950_6..S03R,6,1,1766209770,06 0549+ 177/BBR,1766230221,1766230225,874,0,0
1766209770_7..S,034950_7..S,7,1,1766209770,07 0549+ MST/34H,1766230039,1766230045,881,0,0
1766209830_7..N,035050_7..N,7,0,1766209830,07 0550+ 34H/MST,1766229964,1766229970,802,0,0
1766209890_1..S03R,035150_1..S03R,1,1,1766209890,01 0551+ 242/SFT,1766231346,1766231350,1150,0,0
1766209920_1..N03X038,035200_1..N03X038,1,0,1766209920,01 0552  SFT/242,1766231119,1766231121,1092,0,0
1766209950_5..S08R,035250_5..S08R,5,1,1766209950,/5 0552+ DYR/BWG,1766231661,1766231665,1175,0,0
1766209950_6..N03R,035250_6..N03R,6,0,1766209950,06 0552+ BBR/177,1766230900,1766230906,1038,0,0
1766209980_2..S01R,035300_2..S01R,2,1,1766209980,02 0553  241/FLA,1766233521,1766233525,1705,0,0
1766210070_2..N01R,035450_2..N01R,2,0,1766210070,02 0554+ FLA/241,1766233420,1766233426,2142,0,0
1766210190_3..S01R,035650_3..S01R,3,1,1766210190,03 0556+ 148/NLT,1766232246,1766232250,1315,0,0
1766210190_4..S06R,035650_4..S06R,4,1,1766210190,04 0556+ WDL/UTI,1766231905,1766231911,1226,0,0
1766210280_7..N,035800_7..N,7,0,1766210280,07 0558 MST/34H,1766229676,1766229679,1,0,0
1766210280_7..S,035800_7..S,7,1,1766210280,07 0558 MST/34H,1766230516,1766230519,865,0,0
1766210370_1..S03R,035950_1..S03R,1,1,1766210370,01 0559+ 242/SFT,1766231515,1766231521,1070,0,0
1766210370_6..S03R,035950_6..S03R,6,1,1766210370,06 0559+ 177/BBR,1766231185,1766231191,987,0,0
1766210400_5..N01R,036000_5..N01R,5,0,1766210400,05 0600  180/DYR,1766229166,1766229169,534,0,0
1766210400_GS.N01R,036000_GS.N01R,GS,0,1766210400,0S 0600  GCS/TSS,1766228491,1766228494,399,0,0
1766210430_4..N01R,036050_4..N01R,4,0,1766210430,04 0600+ NLT/WDL,1766232835,1766232841,1406,0,0
1766210460_2..S01R,036100_2..S01R,2,1,1766210460,02 0601  241/FLA,1766233909,1766233915,1671,0,0
1766210550_5..S08R,036250_5..S08R,5,1,1766210550,05 0602+ DYR/BWG,1766232171,1766232175,1233,0,0
1766210640_GS.S01R,036400_GS.S01R,GS,1,1766210640,0S 0604  TSS/GCS,1766228701,1766228704,440,0,0
1766210670_4..S06R,036450_4..S06R,4,1,1766210670,04 0604+ WDL/UTI,1766232436,1766232439,1242,0,0
1766210730_3..N01R,036550_3..N01R,3,0,1766210730,03 0605+ NLT/148,1766232816,1766232820,1341,0,0
1766210760_7..S,036600_7..S,7,1,1766210760,07 0606 MST/34H,1766228785,1766228791,415,0,0
1766210820_7..N,036700_7..N,7,0,1766210820,07 0607 34H/MST,1766231104,1766231106,862,0,0
1766210850_1..S03R,036750_1..S03R,1,1,1766210850,01 0607+ 242/SFT,1766232109,1766232111,1159,0,0
1766210850_6..N03R,036750_6..N03R,6,0,1766210850,06 0607+ BBR/177,1766231901,1766231905,1104,0,0
1766210880_1..N03X038,036800_1..N03X038,1,0,1766210880,01 0608  SFT/242,1766232096,1766232100,1155,0,0
