trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1767675600_GS.N01R,030000_GS.N01R,GS,0,1767675600,0S 0500  GCS/TSS,1767693675,1767693681,397,0,0
1767675660_4..N01R,030100_4..N01R,4,0,1767675660,04 0501  NLT/WDL,1767698526,1767698529,1406,0,0
1767675690_3..S01R,030150_3..S01R,3,1,1767675690,03 0501+ 148/NLT,1767697551,1767697554,1173,0,0
1767675750_4..S01X102,030250_4..S01X102,4,1,1767675750,04 0502+ 3AB/NLT,1767697290,1767697296,1121,0,0
1767675780_2..N,030300_2..N,2,0,1767675780,02 0503  SFT/241,1767698709,1767698715,21,0,0
1767675780_2..N08R,030300_2..N08R,2,0,1767675780,/2 0503  FLA/241,1767699024,1767699030,73,0,0
1767675780_2..N08X082,030300_2..N08X082,2,0,1767675780,02 0503  SFT/241,1767698544,1767698550,1256,0,0
1767675780_5..N32R,030300_5..N32R,5,0,1767675780,05 0503  180/DYR,1767694410,1767694416,544,0,0
1767675810_GS.S01R,030350_GS.S01R,GS,1,1767675810,0S 0503+ TSS/GCS,1767693864,1767693870,435,0,0
1767675900_7..N,030500_7..N,7,0,1767675900,07 0505 34H/MST,1767696114,1767696120,851,0,0
1767675930_3..N90R,030550_3..N90R,3,0,1767675930,03 0505+ 34S/148,1767695541,1767695544,711,0,0
1767675930_6..S01R,030550_6..S01R,6,1,1767675930,06 0505+ PEL/BBR,1767697380,1767697386,1079,0,0
1767675960_2..N08R,030600_2..N08R,2,0,1767675960,02 0506  FLA/241,1767700254,1767700260,1731,0,0
1767675960_4..S05R,030600_4..S05R,4,1,1767675960,04 0506  WDL/UTI,1767698115,1767698121,1227,0,0
1767676140_4..N01X052,030900_4..N01X052,4,0,1767676140,04 0509  MOT/WDL,1767695319,1767695325,667,0,0
1767676170_7..S,030950_7..S,7,1,1767676170,07 0509+ MST/34H,1767696321,1767696324,844,0,0
1767676200_GS.N01R,031000_GS.N01R,GS,0,1767676200,0S 0510  GCS/TSS,1767694281,1767694284,398,0,0
1767676230_2..S08X039,031050_2..S08X039,2,1,1767676230,02 0510+ ATL/FLA,1767695400,1767695406,623,0,0
1767676290_3..S88R,031150_3..S88R,3,1,1767676290,03 0511+ 148/34S,1767695571,1767695574,657,0,0
1767676320_5..S03R,031200_5..S03R,5,1,1767676320,05 0512  DYR/FLA,1767699294,1767699300,1426,0,0
1767676350_2..S01R,031250_2..S01R,2,1,1767676350,02 0512+ 241/FLA,1767700314,1767700320,1967,0,0
1767676350_5..S02R,031250_5..S02R,5,1,1767676350,05 0512+ 180/FLA,1767698466,1767698469,1222,0,0
1767676380_4..N01R,031300_4..N01R,4,0,1767676380,04 0513  NLT/WDL,1767699135,1767699141,1388,0,0
1767676380_6..S01R,031300_6..S01R,6,1,1767676380,06 0513  PEL/BBR,1767697734,1767697740,1090,0,0
1767676410_GS.S01R,031350_GS.S01R,GS,1,1767676410,0S 0513+ TSS/GCS,1767694476,1767694479,437,0,0
1767676440_4..S06R,031400_4..S06R,4,1,1767676440,04 0514  WDL/UTI,1767698274,1767698280,1199,0,0
1767676470_1..N03R,031450_1..N03R,1,0,1767676470,01 0514+ SFT/242,1767698406,1767698409,1064,0,0
1767676500_6..N01R,031500_6..N01R,6,0,1767676500,06 0515  BBR/PEL,1767697980,1767697986,1079,0,0
1767676620_1..S03R,031700_1..S03R,1,1,1767676620,01 0517  242/SFT,1767698070,1767698076,1098,0,0
1767676650_3..S01R,031750_3..S01R,3,1,1767676650,03 0517+ 148/NLT,1767698664,1767698670,1189,0,0
1767676650_7..S,031750_7..S,7,1,1767676650,07 0517+ MST/34H,1767696660,1767696666,776,0,0
1767676770_6..S01R,031950_6..S01R,6,1,1767676770,06 0519+ PEL/BBR,1767698355,1767698361,1094,0,0
1767676800_GS.N01R,032000_GS.N01R,GS,0,1767676800,0S 0520  GCS/TSS,1767694899,1767694905,402,0,0
1767676920_4..S06R,032200_4..S06R,4,1,1767676920,04 0522  WDL/UTI,1767698640,1767698646,1152,0,0
1767676980_5..N32R,032300_5..N32R,5,0,1767676980,05 0523  180/DYR,1767695865,1767695871,595,0,0
1767676980_7..S,032300_7..S,7,1,1767676980,07 0523 MST/34H,1767697041,1767697044,823,0,0
1767677010_GS.S01R,032350_GS.S01R,GS,1,1767677010,0S 0523+ TSS/GCS,1767695079,1767695085,438,0,0
1767677040_5..S03R,032400_5..S03R,5,1,1767677040,05 0524  DYR/FLA,1767700044,1767700050,1495,0,0
1767677100_1..S03R,032500_1..S03R,1,1,1767677100,01 0525  242/SFT,1767698565,1767698571,1017,0,0
1767677100_4..N01R,032500_4..N01R,4,0,1767677100,04 0525  NLT/WDL,1767700085,1767700086,1445,0,0
1767677100_7..N,032500_7..N,7,0,1767677100,07 0525 34H/MST,1767697425,1767697431,881,0,0
1767677130_3..N90R,032550_3..N90R,3,0,1767677130,03 0525+ 34S/148,1767696399,1767696405,642,0,0
1767677220_6..S01R,032700_6..S01R,6,1,1767677220,06 0527  PEL/BBR,1767698730,1767698735,1111,0,0
1767677250_2..N01R,032750_2..N01R,2,0,1767677250,02 0527+ FLA/241,1767700895,1767700896,1937,0,0
1767677370_4..S37R,032950_4..S37R,4,1,1767677370,04 0529+ WDL/BWG,1767698310,1767698316,965,0,0
1767677370_7..S,032950_7..S,7,1,1767677370,07 0529+ MST/34H,1767697440,1767697446,781,0,0
1767677400_GS.N01R,033000_GS.N01R,GS,0,1767677400,0S 0530  GCS/TSS,1767695460,1767695466,394,0,0
1767677490_2..S01R,033150_2..S01R,2,1,1767677490,02 0531+ 241/FLA,1767701073,1767701076,1648,0,0
1767677520_5..S03R,033200_5..S03R,5,1,1767677520,05 0532  DYR/FLA,1767700674,1767700680,1542,0,0
1767677580_1..S03R,033300_1..S03R,1,1,1767677580,01 0533  242/SFT,1767698955,1767698961,1103,0,0
1767677610_4..N01R,033350_4..N01R,4,0,1767677610,04 0533+ NLT/WDL,1767700344,1767700350,1136,0,0
1767677610_GS.S01R,033350_GS.S01R,GS,1,1767677610,0S 0533+ TSS/GCS,1767695664,1767695670,435,0,0
1767677640_6..S01R,033400_6..S01R,6,1,1767677640,06 0534  PEL/BBR,1767699141,1767699144,1148,0,0
