trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1761537600_3..N01R,024000_3..N01R,3,0,1761537600,03 0400  NLT/148,1761556655,1761556658,2417,0,0
1761537600_7..S,024000_7..S,7,1,1761537600,07 0400 WPT/34H,1761554018,1761554021,1435,0,0
1761537720_5..S32R,024200_5..S32R,5,1,1761537720,05 0402  DYR/180,1761552827,1761552830,903,0,0
1761537750_7..N,024250_7..N,7,0,1761537750,07 0402+ 34H/G-C,1761552559,1761552587,727,0,0
1761537780_5..N32R,024300_5..N32R,5,0,1761537780,05 0403  180/DYR,1761552989,1761552990,964,0,0
1761537810_2..N08R,024350_2..N08R,2,0,1761537810,02 0403+ FLA/241,1761558113,1761558116,3505,0,0
1761537870_3..S01R,024450_3..S01R,3,1,1761537870,03 0404+ 148/NLT,1761555995,1761555998,2066,0,0
1761537930_1..S03R,024550_1..S03R,1,1,1761537930,01 0405+ 242/SFT,1761555743,1761555746,1980,0,0
1761537930_4..N13X300,024550_4..N13X300,4,0,1761537930,04 0405+ BBR/WDL,1761555674,1761555675,1938,0,0
1761538080_7..N,024800_7..N,7,0,1761538080,=7 0408 G-C/MST,1761554468,1761554471,811,0,0
1761538140_2..S08R,024900_2..S08R,2,1,1761538140,02 0409  241/FLA,1761559338,1761559340,3212,0,0
1761538170_4..S41R,024950_4..S41R,4,1,1761538170,04 0409+ WDL/UTI,1761557024,1761557028,2341,0,0
1761538350_6..N01R,025250_6..N01R,6,0,1761538350,06 0412+ BBR/PEL,1761556754,1761556758,2251,0,0
1761538470_1..N03R,025450_1..N03R,1,0,1761538470,01 0414+ SFT/242,1761556373,1761556376,2018,0,0
1761538500_6..S01R,025500_6..S01R,6,1,1761538500,06 0415  PEL/BBR,1761556331,1761556334,2001,0,0
1761538800_3..N01R,026000_3..N01R,3,0,1761538800,03 0420  NLT/148,1761557444,1761557448,2282,0,0
1761538800_7..S,026000_7..S,7,1,1761538800,07 0420 WPT/34H,1761639251,1761639255,22232,974,0
1761538890_4..S41R,026150_4..S41R,4,1,1761538890,04 0421+ WDL/UTI,1761557684,1761557688,2362,0,0
1761538920_5..S32R,026200_5..S32R,5,1,1761538920,05 0422  DYR/180,1761554105,1761554108,1012,0,0
1761538950_7..N,026250_7..N,7,0,1761538950,07 0422+ 34H/G-C,1761553643,1761553646,814,0,0
1761538980_5..N32R,026300_5..N32R,5,0,1761538980,05 0423  180/DYR,1761554117,1761554120,1017,0,0
1761539040_2..S08R,026400_2..S08R,2,1,1761539040,02 0424  241/FLA,1761559814,1761559818,3071,0,0
1761539070_3..S01R,026450_3..S01R,3,1,1761539070,03 0424+ 148/NLT,1761557513,1761557516,2212,0,0
1761539130_1..S03R,026550_1..S03R,1,1,1761539130,01 0425+ 242/SFT,1761556943,1761556946,2081,0,0
1761539130_4..N13X300,026550_4..N13X300,4,0,1761539130,04 0425+ BBR/WDL,1761557114,1761557118,2079,0,0
1761539280_7..N,026800_7..N,7,0,1761539280,=7 0428 G-C/MST,1761555410,1761555413,739,0,0
1761539400_6..S01R,027000_6..S01R,6,1,1761539400,06 0430  PEL/BBR,1761557324,1761557328,2049,0,0
1761539550_6..N01R,027250_6..N01R,6,0,1761539550,06 0432+ BBR/PEL,1761557795,1761557798,2206,0,0
1761539610_2..N08R,027350_2..N08R,2,0,1761539610,02 0433+ FLA/241,1761552038,1761554012,47,0,0
1761539670_1..N03R,027450_1..N03R,1,0,1761539670,01 0434+ SFT/242,1761557273,1761557276,1932,0,0
1761539910_4..S06R,027850_4..S06R,4,1,1761539910,04 0438+ WDL/UTI,1761557909,1761557913,2144,0,0
1761539940_2..S01R,027900_2..S01R,2,1,1761539940,02 0439  241/FLA,1761560387,1761560390,2969,0,0
1761540000_3..N01R,028000_3..N01R,3,0,1761540000,03 0440  NLT/148,1761558764,1761558768,2328,0,0
1761540000_7..S,028000_7..S,7,1,1761540000,07 0440 WPT/34H,1761556335,1761556337,1558,0,0
1761540120_5..S32R,028200_5..S32R,5,1,1761540120,05 0442  DYR/180,1761555242,1761555245,1073,0,0
1761540120_6..S01R,028200_6..S01R,6,1,1761540120,06 0442  PEL/BBR,1761557654,1761557658,1958,0,0
1761540150_1..S03R,028250_1..S03R,1,1,1761540150,01 0442+ 242/SFT,1761558065,1761558068,2095,0,0
1761540150_7..N,028250_7..N,7,0,1761540150,07 0442+ 34H/G-C,1761554921,1761554924,865,0,0
1761540180_5..N32R,028300_5..N32R,5,0,1761540180,05 0443  180/DYR,1761555302,1761555305,1097,0,0
1761540210_2..N08R,028350_2..N08R,2,0,1761540210,02 0443+ FLA/241,1761560936,1761560939,3193,0,0
1761540270_3..S01R,028450_3..S01R,3,1,1761540270,03 0444+ 148/NLT,1761558635,1761558638,2185,0,0
1761540330_4..N13X300,028550_4..N13X300,4,0,1761540330,04 0445+ BBR/WDL,1761558125,1761558128,2015,0,0
1761540480_7..N,028800_7..N,7,0,1761540480,=7 0448 G-C/MST,1761557780,1761557783,1078,0,0
1761540510_4..S06R,028850_4..S06R,4,1,1761540510,04 0448+ WDL/UTI,1761558423,1761558425,2114,0,0
1761540540_7..S,028900_7..S,7X,1,1761540540,E7 0449 111/34H,1761556841,1761556844,959,0,0
1761540750_6..N01R,029250_6..N01R,6,0,1761540750,06 0452+ BBR/PEL,1761558734,1761558738,2103,0,0
1761540840_2..S01R,029400_2..S01R,2,1,1761540840,02 0454  241/FLA,1761560747,1761560750,2773,0,0
1761540840_6..S01R,029400_6..S01R,6,1,1761540840,06 0454  PEL/BBR,1761559901,1761559904,2491,0,0
1761540870_1..N03R,029450_1..N03R,1,0,1761540870,01 0454+ SFT/242,1761558533,1761558536,1916,0,0
1761541050_1..S03R,029750_1..S03R,1,1,1761541050,01 0457+ 242/SFT,1761558755,1761558758,1990,0,0
1761541050_4..N06X056,029750_4..N06X056,4,0,1761541050,04 0457+ UTI/WDL,1761560417,1761560420,2543,0,0
1761541080_4..S37R,029800_4..S37R,4,1,1761541080,04 0458  WDL/BWG,1761558224,1761558228,1813,0,0
1761541140_5..S32R,029900_5..S32R,5,1,1761541140,05 0459  DYR/180,1761556343,1761556346,1177,0,0
1761541200_3..N01R,030000_3..N01R,3,0,1761541200,03 0500  NLT/148,1761559775,1761559778,2210,0,0
1761541290_3..S01R,030150_3..S01R,3,1,1761541290,03 0501+ 148/NLT,1761559289,1761559293,2048,0,0
1761541350_7..N,030250_7..N,7,0,1761541350,07 0502+ 34H/MST,1761558443,1761558446,1725,0,0
1761541380_5..N32R,030300_5..N32R,5,0,1761541380,05 0503  180/DYR,1761556365,1761556367,1066,0,0
1761541530_4..N13X300,030550_4..N13X300,4,0,1761541530,04 0505+ BBR/WDL,1761559178,1761559181,1891,0,0
1761541530_6..S,030550_6..S,6,1,1761541530,E6 0505+ PEL/BBR,1761558929,1761558933,408,0,0
1761541530_6..S01R,030550_6..S01R,6,1,1761541530,=6 0505+ PEL/BBR,1761557705,1761557708,1400,0,0
1761541560_2..N08R,030600_2..N08R,2,0,1761541560,02 0506  FLA/241,1761561977,1761561980,2823,0,0
1761541560_4..S,030600_4..S,4,1,1761541560,04 0506  WDL/UTI,1761560660,1761560663,838,0,0
1761541560_4..S06R,030600_4..S06R,4,1,1761541560,04 0506  WDL/UTI,1761557756,1761557759,1417,0,0
1761541740_1..S03R,030900_1..S03R,1,1,1761541740,01 0509  242/SFT,1761559478,1761559481,1991,0,0
1761541740_2..S01R,030900_2..S01R,2,1,1761541740,02 0509  241/FLA,1761561896,1761561899,2796,0,0
1761541740_7..S,030900_7..S,7,1,1761541740,07 0509 WPT/34H,1761558179,1761558183,1521,0,0
1761541770_7..S,030950_7..S,7,1,1761541770,07 0509+ MST/34H,1761557708,1761557711,1364,0,0
1761541830_6..N01R,031050_6..N01R,6,0,1761541830,06 0510+ BBR/PEL,1761559976,1761559979,2036,0,0
1761541920_4..N01X126,031200_4..N01X126,4,0,1761541920,04 0512  UTI/WDL,1761560855,1761560858,2329,0,0
1761541920_5..S03R,031200_5..S03R,5,1,1761541920,05 0512  DYR/FLA,1761561626,1761561629,2586,0,0
1761541920_7..N,031200_7..N,7,0,1761541920,07 0512 34H/MST,1761558824,1761558828,1616,0,0
1761541950_5..S02R,031250_5..S02R,5,1,1761541950,05 0512+ 180/FLA,1761560507,1761560510,2211,0,0
1761541980_6..S01R,031300_6..S01R,6,1,1761541980,06 0513  PEL/BBR,1761560279,1761560282,2137,0,0
1761542040_4..S06R,031400_4..S06R,4,1,1761542040,04 0514  WDL/UTI,1761560978,1761560981,2356,0,0
1761542070_1..N03R,031450_1..N03R,1,0,1761542070,01 0514+ SFT/242,1761559904,1761559908,1892,0,0
1761542220_1..S03R,031700_1..S03R,1,1,1761542220,01 0517  242/SFT,1761559925,1761559928,1899,0,0
1761542220_3..S01R,031700_3..S01R,3,1,1761542220,03 0517  148/NLT,1761560207,1761560210,1993,0,0
1761542370_6..S01R,031950_6..S01R,6,1,1761542370,06 0519+ PEL/BBR,1761560588,1761560591,2000,0,0
1761542400_3..N01R,032000_3..N01R,3,0,1761542400,03 0520  NLT/148,1761561137,1761561140,2183,0,0
1761542460_2..N01R,032100_2..N01R,2,0,1761542460,02 0521  FLA/241,1761562226,1761562229,2546,0,0
1761542460_2..S01R,032100_2..S01R,2,1,1761542460,02 0521  241/FLA,1761562475,1761562478,2626,0,0
1761542520_4..S06R,032200_4..S06R,4,1,1761542520,04 0522  WDL/UTI,1761561299,1761561302,2231,0,0
1761542580_5..N32R,032300_5..N32R,5,1,1761542580,05 0523  180/DYR,1761557864,1761557868,1093,0,0
1761542640_4..N01X126,032400_4..N01X126,4,0,1761542640,04 0524  UTI/WDL,1761561335,1761561338,2249,0,0
1761542640_5..S03R,032400_5..S03R,5,1,1761542640,05 0524  DYR/FLA,1761562286,1761562289,2565,0,0
1761542700_1..S03R,032500_1..S03R,1,1,1761542700,01 0525  242/SFT,1761560396,1761560399,1816,0,0
1761542760_6..N01R,032600_6..N01R,6,0,1761542760,06 0526  BBR/PEL,1761560777,1761560780,1943,0,0
1761542820_6..S01R,032700_6..S01R,6,1,1761542820,06 0527  PEL/BBR,1761560777,1761560780,1943,0,0
1761542820_7..N,032700_7..N,7,0,1761542820,07 0527 34H/MST,1761559370,1761559373,1429,0,0
1761542970_4..S37R,032950_4..S37R,4,1,1761542970,04 0529+ WDL/BWG,1761560531,1761560534,1630,0,0
1761542970_7..S,032950_7..S,7,1,1761542970,07 0529+ MST/34H,1761560342,1761560345,1637,0,0
1761543090_2..S01R,033150_2..S01R,2,1,1761543090,02 0531+ 241/FLA,1761562985,1761562988,2556,0,0
1761543120_3..S01R,033200_3..S01R,3,1,1761543120,03 0532  148/NLT,1761561527,1761561530,1815,0,0
1761543120_5..S03R,033200_5..S03R,5,1,1761543120,05 0532  DYR/FLA,1761562607,1761562610,2430,0,0
1761543180_1..S03R,033300_1..S03R,1,1,1761543180,01 0533  242/SFT,1761560936,1761560939,1876,0,0
1761543240_6..S01R,033400_6..S01R,6,1,1761543240,06 0534  PEL/BBR,1761561278,1761561281,1990,0,0
1761543270_1..N03R,033450_1..N03R,1,0,1761543270,01 0534+ SFT/242,1761558243,1761558245,776,0,0
