trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1758340800_7..S,024000_7..S,7,1,1758340800,07 0400 MST/34H,1758354059,1758355205,243,0,0
1758340920_5..S32R,024200_5..S32R,5,1,1758340920,05 0402  DYR/180,1758355964,1758355970,711,0,0
1758340980_3..S88R,024300_3..S88R,3,1,1758340980,03 0403  148/34S,1758356774,1758356780,927,0,0
1758340980_5..N32R,024300_5..N32R,5,0,1758340980,05 0403  180/DYR,1758356078,1758356081,741,0,0
1758341100_3..N90R,024500_3..N90R,3,0,1758341100,03 0405  34S/148,1758356819,1758356825,859,0,0
1758341250_1..S04R,024750_1..S04R,1,1,1758341250,01 0407+ 238/SFT,1758358816,1758358820,1390,0,0
1758341400_7..S,025000_7..S,7,1,1758341400,07 0410 MST/CHS,1758357266,1758357269,855,0,0
1758341430_4..N06X314,025050_4..N06X314,4,0,1758341430,04 0410+ ATL/WDL,1758359836,1758359840,1694,0,0
1758341430_7..N,025050_7..N,7,0,1758341430,07 0410+ 34H/MST,1758358214,1758358216,1186,0,0
1758341520_1..N04X002,025200_1..N04X002,1,0,1758341520,01 0412  SFT/238,1758359348,1758359351,1533,0,0
1758341550_6..N01X006,025250_6..N01X006,6,0,1758341550,06 0412+ BBR/PEL,1758359216,1758359219,1489,0,0
1758341610_2..N08R,025350_2..N08R,2,0,1758341610,02 0413+ FLA/241,1758362126,1758362129,2425,0,0
1758341640_4..S13X010,025400_4..S13X010,4,1,1758341640,04 0414  WDL/ATL,1758360116,1758360119,1786,0,0
1758341940_2..S08R,025900_2..S08R,2,1,1758341940,02 0419  241/FLA,1758362678,1758362681,2493,0,0
1758341970_6..S01X014,025950_6..S01X014,6,1,1758341970,06 0419+ PEL/BBR,1758359840,1758359843,1536,0,0
1758342090_7..S,026150_7..S,7,1,1758342090,=7 0421+ CHS/34H,1758358226,1758358229,361,0,0
1758342120_5..S32R,026200_5..S32R,5,1,1758342120,05 0422  DYR/180,1758357194,1758357200,720,0,0
1758342180_3..S88R,026300_3..S88R,3,1,1758342180,03 0423  148/34S,1758358034,1758358040,944,0,0
1758342180_5..N32R,026300_5..N32R,5,0,1758342180,05 0423  180/DYR,1758357206,1758357209,723,0,0
1758342300_3..N90R,026500_3..N90R,3,0,1758342300,03 0425  34S/148,1758358358,1758358361,946,0,0
1758342450_1..S04R,026750_1..S04R,1,1,1758342450,01 0427+ 238/SFT,1758359978,1758359981,1501,0,0
1758342630_4..N06X314,027050_4..N06X314,4,0,1758342630,04 0430+ ATL/WDL,1758360916,1758360920,1734,0,0
1758342630_7..N,027050_7..N,7,0,1758342630,07 0430+ 34H/MST,1758359753,1758359756,1316,0,0
1758342720_1..N04X002,027200_1..N04X002,1,0,1758342720,01 0432  SFT/238,1758360386,1758360389,1557,0,0
1758342750_6..N01X006,027250_6..N01X006,6,0,1758342750,06 0432+ BBR/PEL,1758360556,1758360560,1614,0,0
1758342810_2..N08R,027350_2..N08R,2,0,1758342810,02 0433+ FLA/241,1758363398,1758363401,2457,0,0
1758342840_4..S13X010,027400_4..S13X010,4,1,1758342840,04 0434  WDL/ATL,1758361616,1758361619,1964,0,0
1758343140_2..S08R,027900_2..S08R,2,1,1758343140,02 0439  241/FLA,1758363878,1758363881,2493,0,0
1758343170_6..S01X014,027950_6..S01X014,6,1,1758343170,06 0439+ PEL/BBR,1758361031,1758361034,1612,0,0
1758343200_7..S,028000_7..S,7,1,1758343200,07 0440 MST/34H,1758441601,1758441604,23914,0,0
1758343320_5..S32R,028200_5..S32R,5,1,1758343320,05 0442  DYR/180,1758358358,1758358361,727,0,0
1758343380_3..S88R,028300_3..S88R,3,1,1758343380,03 0443  148/34S,1758358748,1758358751,854,0,0
