trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1765429260_4..N,030100_4..N,4,0,1765429260,04 0501  NLT/WDL,1765452261,1765452265,474,0,0
1765429260_4..N01R,030100_4..N01R,4,0,1765429260,04 0501  NLT/WDL,1765449345,1765449351,810,0,0
1765429290_3..S01R,030150_3..S01R,3,1,1765429290,03 0501+ 148/NLT,1765451110,1765451115,1164,0,0
1765429380_5..N32R,030300_5..N32R,5,0,1765429380,05 0503  180/DYR,1765448229,1765448235,559,0,0
1765429440_4..N01X130,030400_4..N01X130,4,0,1765429440,04 0504  125/WDL,1765448970,1765448976,735,0,0
1765429500_7..N,030500_7..N,7,0,1765429500,07 0505 34H/MST,1765449945,1765449951,905,0,0
1765429530_3..N90R,030550_3..N90R,3,0,1765429530,03 0505+ 34S/148,1765449360,1765449366,753,0,0
1765429530_6..S01R,030550_6..S01R,6,1,1765429530,06 0505+ PEL/BBR,1765450911,1765450915,1064,0,0
1765429560_4..S05R,030600_4..S05R,4,1,1765429560,04 0506  WDL/UTI,1765451790,1765451796,1241,0,0
1765429740_1..S03R,030900_1..S03R,1,1,1765429740,01 0509  242/SFT,1765450965,1765450971,1075,0,0
1765429770_7..S,030950_7..S,7,1,1765429770,07 0509+ MST/34H,1765450030,1765450035,856,0,0
1765429830_6..N01R,031050_6..N01R,6,0,1765429830,06 0510+ BBR/PEL,1765451200,1765451205,1062,0,0
1765429890_3..S88R,031150_3..S88R,3,1,1765429890,03 0511+ 148/34S,1765449216,1765449219,664,0,0
1765429980_4..N,031300_4..N,4,0,1765429980,04 0513  NLT/WDL,1765453090,1765453095,597,0,0
1765429980_4..N01R,031300_4..N01R,4,0,1765429980,04 0513  NLT/WDL,1765450000,1765450005,821,0,0
1765430040_4..S06R,031400_4..S06R,4,1,1765430040,04 0514  WDL/UTI,1765451715,1765451721,1165,0,0
1765430070_1..N03R,031450_1..N03R,1,0,1765430070,01 0514+ SFT/242,1765451310,1765451316,1024,0,0
1765430190_6..S01R,031650_6..S01R,6,1,1765430190,06 0516+ PEL/BBR,1765451685,1765451691,969,0,0
1765430220_1..S03R,031700_1..S03R,1,1,1765430220,01 0517  242/SFT,1765448055,1765448226,372,0,0
1765430250_3..S01R,031750_3..S01R,3,1,1765430250,03 0517+ 148/NLT,1765452291,1765452295,1227,0,0
1765430250_7..S,031750_7..S,7,1,1765430250,07 0517+ MST/34H,1765450266,1765450270,774,0,0
1765430460_1..S03R,032100_1..S03R,1,1,1765430460,01 0521  242/SFT,1765451970,1765451976,799,0,0
1765430460_2..N01R,032100_2..N01R,2,0,1765430460,02 0521  FLA/241,1765454253,1765454256,1646,0,0
1765430460_2..S01R,032100_2..S01R,2,1,1765430460,02 0521  241/FLA,1765454658,1765454664,1768,0,0
1765430520_4..S06R,032200_4..S06R,4,1,1765430520,04 0522  WDL/UTI,1765452876,1765452880,1297,0,0
1765430580_5..N32R,032300_5..N32R,5,1,1765430580,05 0523  180/DYR,1765449414,1765449420,584,0,0
1765430580_7..S,032300_7..S,7,1,1765430580,07 0523 MST/34H,1765450635,1765450641,814,0,0
1765430640_5..S03R,032400_5..S03R,5,1,1765430640,05 0524  DYR/FLA,1765453731,1765453734,1511,0,0
1765430700_4..N01R,032500_4..N01R,4,0,1765430700,04 0525  NLT/WDL,1765453569,1765453575,1409,0,0
1765430700_7..N,032500_7..N,7,0,1765430700,07 0525 34H/MST,1765450845,1765450851,835,0,0
1765430760_6..N01R,032600_6..N01R,6,0,1765430760,06 0526  BBR/PEL,1765452651,1765452655,1186,0,0
1765430820_6..S01R,032700_6..S01R,6,1,1765430820,06 0527  PEL/BBR,1765452441,1765452445,1137,0,0
1765430940_4..S06R,032900_4..S06R,4,1,1765430940,04 0529  WDL/UTI,1765449090,1765449096,55,0,0
1765430970_4..S37R,032950_4..S37R,4,1,1765430970,04 0529+ WDL/BWG,1765451991,1765451995,970,0,0
1765430970_7..S,032950_7..S,7,1,1765430970,07 0529+ MST/34H,1765448304,1765448976,284,0,0
1765431090_2..S01R,033150_2..S01R,2,1,1765431090,02 0531+ 241/FLA,1765454778,1765454784,1643,0,0
1765431120_3..S01R,033200_3..S01R,3,1,1765431120,03 0532  148/NLT,1765453083,1765453086,1225,0,0
1765431120_5..S03R,033200_5..S03R,5,1,1765431120,05 0532  DYR/FLA,1765454271,1765454274,1531,0,0
1765431180_1..S03R,033300_1..S03R,1,1,1765431180,01 0533  242/SFT,1765452450,1765452456,1079,0,0
1765431210_7..S,033350_7..S,7,1,1765431210,07 0533+ MST/34H,1765451395,1765451400,619,0,0
1765431240_6..S01R,033400_6..S01R,6,1,1765431240,06 0534  PEL/BBR,1765452741,1765452745,1146,0,0
1765431270_1..N03R,033450_1..N03R,1,0,1765431270,01 0534+ SFT/242,1765452670,1765452675,1070,0,0
1765431270_2..N01R,033450_2..N01R,2,0,1765431270,02 0534+ FLA/241,1765454883,1765454889,1607,0,0
1765431420_7..N,033700_7..N,7,0,1765431420,07 0537 34H/MST,1765451676,1765451680,818,0,0
1765431450_7..S,033750_7..S,7,1,1765431450,07 0537+ MST/34H,1765501480,1765501491,12043,0,0
1765431480_4..S06R,033800_4..S06R,4,1,1765431480,04 0538  WDL/UTI,1765453263,1765453266,1211,0,0
1765431480_6..N01R,033800_6..N01R,6,0,1765431480,06 0538  BBR/PEL,1765453120,1765453125,1175,0,0
1765431510_3..N01R,033850_3..N01R,3,0,1765431510,03 0538+ NLT/148,1765453491,1765453494,1268,0,0
1765431660_1..S03R,034100_1..S03R,1,1,1765431660,01 0541  242/SFT,1765452861,1765452865,1053,0,0
1765431660_6..S01R,034100_6..S01R,6,1,1765431660,06 0541  PEL/BBR,1765453440,1765453446,1195,0,0
1765431690_2..S01R,034150_2..S01R,2,1,1765431690,02 0541+ 241/FLA,1765455588,1765455594,1688,0,0
1765431690_4..N02R,034150_4..N02R,4,0,1765431690,04 0541+ NLT/WDL,1765454409,1765454415,1436,0,0
1765431720_5..S03R,034200_5..S03R,5,1,1765431720,05 0542  DYR/FLA,1765454403,1765454409,1433,0,0
1765431780_5..N01R,034300_5..N01R,5,0,1765431780,05 0543  180/DYR,1765450720,1765450725,606,0,0
1765431780_7..S,034300_7..S,7,1,1765431780,07 0543 MST/34H,1765451905,1765451910,809,0,0
1765431900_4..S06R,034500_4..S06R,4,1,1765431900,04 0545  WDL/UTI,1765453785,1765453788,1224,0,0
