trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1760155200_7..S,024000_7..S,7,1,1760155200,07 0400 MST/34H,1760171918,1760171921,1548,0,0
1760155410_5..N32X001,024350_5..N32X001,5,0,1760155410,05 0403+ 180/DYR,1760170413,1760170415,1001,0,0
1760155470_5..S32R,024450_5..S32R,5,1,1760155470,05 0404+ DYR/180,1760170643,1760170646,962,0,0
1760155560_1..S03R,024600_1..S03R,1,1,1760155560,01 0406  242/SFT,1760173241,1760173244,1865,0,0
1760155650_4..N,024750_4..N,4,0,1760155650,04 0407+ NLT/WDL,1760175008,1760175011,421,0,0
1760155650_4..N01X215,024750_4..N01X215,4,0,1760155650,04 0407+ NLT/WDL,1760173743,1760173745,1997,0,0
1760155740_6..N01X124,024900_6..N01X124,6,0,1760155740,06 0409  BWG/PEL,1760173608,1760173610,1952,0,0
1760155830_7..N,025050_7..N,7,0,1760155830,07 0410+ 34H/MST,1760172539,1760172543,1546,0,0
1760155920_1..N03R,025200_1..N03R,1,0,1760155920,01 0412  SFT/242,1760173907,1760173911,1938,0,0
1760156010_2..N08X004,025350_2..N08X004,2,0,1760156010,02 0413+ FLA/241,1760176403,1760176406,2771,0,0
1760156040_4..S13R,025400_4..S13R,4,1,1760156040,04 0414  WDL/NLT,1760175842,1760175846,2583,0,0
1760156340_2..S08X136,025900_2..S08X136,2,1,1760156340,02 0419  241/FLA,1760176721,1760176724,2765,0,0
1760156370_6..S01X108,025950_6..S01X108,6,1,1760156370,06 0419+ PEL/BWG,1760174894,1760174897,2044,0,0
1760156400_7..S,026000_7..S,7,1,1760156400,07 0420 MST/CHS,1760172161,1760172164,1135,0,0
1760156610_5..N32X001,026350_5..N32X001,5,0,1760156610,05 0423+ 180/DYR,1760171771,1760171774,1004,0,0
1760156670_5..S32R,026450_5..S32R,5,1,1760156670,05 0424+ DYR/180,1760171753,1760171756,890,0,0
1760156760_1..S03R,026600_1..S03R,1,1,1760156760,01 0426  242/SFT,1760174459,1760174462,1867,0,0
1760156850_4..N,026750_4..N,4,0,1760156850,04 0427+ NLT/WDL,1760176082,1760176086,453,0,0
1760156850_4..N01X215,026750_4..N01X215,4,0,1760156850,04 0427+ NLT/WDL,1760174729,1760174732,1880,0,0
1760156940_6..N01X124,026900_6..N01X124,6,0,1760156940,06 0429  BWG/PEL,1760174699,1760174702,1871,0,0
1760157030_7..N,027050_7..N,7,0,1760157030,07 0430+ 34H/MST,1760173862,1760173866,1510,0,0
1760157120_1..N03R,027200_1..N03R,1,0,1760157120,01 0432  SFT/242,1760174789,1760174792,1788,0,0
1760157210_2..N08X004,027350_2..N08X004,2,0,1760157210,02 0433+ FLA/241,1760177642,1760177645,2742,0,0
1760157240_4..S13R,027400_4..S13R,4,1,1760157240,04 0434  WDL/NLT,1760170638,1760170640,403,0,0
1760157540_2..S08X136,027900_2..S08X136,2,1,1760157540,02 0439  241/FLA,1760178353,1760178356,2872,0,0
1760157570_6..S01X108,027950_6..S01X108,6,1,1760157570,06 0439+ PEL/BWG,1760175857,1760175860,1976,0,0
1760157600_7..S,028000_7..S,7,1,1760157600,07 0440 MST/34H,1760174016,1760174018,1360,0,0
1760157720_7..S,028200_7..S,7,1,1760157720,=7 0442 CHS/34H,1760173064,1760173068,331,0,0
1760157810_5..N32X001,028350_5..N32X001,5,0,1760157810,05 0443+ 180/DYR,1760172911,1760172914,945,0,0
1760157840_4..S13R,028400_4..S13R,4,1,1760157840,04 0444  WDL/NLT,1760177720,1760177723,2365,0,0
1760157870_5..S32R,028450_5..S32R,5,1,1760157870,05 0444+ DYR/180,1760173091,1760173094,900,0,0
1760157960_1..S03R,028600_1..S03R,1,1,1760157960,01 0446  242/SFT,1760175671,1760175674,1762,0,0
1760158080_4..N,028800_4..N,4,0,1760158080,04 0448  NLT/WDL,1760177282,1760177286,381,0,0
1760158080_4..N01X215,028800_4..N01X215,4,0,1760158080,04 0448  NLT/WDL,1760176142,1760176145,1918,0,0
1760158140_6..N01X124,028900_6..N01X124,6,0,1760158140,06 0449  BWG/PEL,1760175632,1760175636,1748,0,0
1760158230_7..N,029050_7..N,7,0,1760158230,07 0450+ 34H/MST,1760175551,1760175554,1668,0,0
1760158320_1..N03R,029200_1..N03R,1,0,1760158320,01 0452  SFT/242,1760176121,1760176124,1811,0,0
1760158410_2..N08X004,029350_2..N08X004,2,0,1760158410,02 0453+ FLA/241,1760178563,1760178566,2630,0,0
1760158650_7..S,029750_7..S,7,1,1760158650,07 0457+ MST/34H,1760175032,1760175036,1349,0,0
1760158740_2..S01X180,029900_2..S01X180,2,1,1760158740,02 0459  241/FLA,1760178803,1760178806,2614,0,0
1760158770_6..S01X108,029950_6..S01X108,6,1,1760158770,06 0459+ PEL/BWG,1760176883,1760176886,1974,0,0
