trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1756008000_7..S,024000_7..S,7,1,1756008000,07 0400 MST/34H,1756108819,1756108825,24473,0,0
1756008000_GS.N01R,024000_GS.N01R,GS,0,1756008000,0S 0400  GCS/TSS,1756022480,1756022483,127,0,0
1756008060_4..N13X156,024100_4..N13X156,4,0,1756008060,04 0401  GC /WDL,1756025114,1756025120,1232,0,0
1756008120_5..S32R,024200_5..S32R,5,1,1756008120,05 0402  DYR/180,1756023224,1756023230,727,0,0
1756008150_2..S08R,024250_2..S08R,2,1,1756008150,02 0402+ 241/FLA,1756028621,1756028624,2167,0,0
1756008180_3..S01R,024300_3..S01R,3,1,1756008180,03 0403  148/NLT,1756026134,1756026140,1504,0,0
1756008180_5..N32R,024300_5..N32R,5,0,1756008180,05 0403  180/DYR,1756023236,1756023239,730,0,0
1756008210_GS.S01R,024350_GS.S01R,GS,1,1756008210,0S 0403+ TSS/GCS,1756022690,1756022693,141,0,0
1756008360_1..S03R,024600_1..S03R,1,1,1756008360,01 0406  242/SFT,1756026185,1756026188,1438,0,0
1756008600_7..S,025000_7..S,7,1,1756008600,07 0410 MST/34H,1756025228,1756025231,1101,0,0
1756008600_GS.N01R,025000_GS.N01R,GS,0,1756008600,0S 0410  GCS/TSS,1756023110,1756023113,129,0,0
1756008690_2..N08R,025150_2..N08R,2,0,1756008690,02 0411+ FLA/241,1756028909,1756028915,2083,0,0
1756008720_1..N03R,025200_1..N03R,1,0,1756008720,01 0412  SFT/242,1756026794,1756026800,1520,0,0
1756008810_GS.S01R,025350_GS.S01R,GS,1,1756008810,0S 0413+ TSS/GCS,1756023320,1756023323,143,0,0
1756008840_4..S13X075,025400_4..S13X075,4,1,1756008840,04 0414  WDL/GC,1756025774,1756025780,1248,0,0
1756008990_6..N01X012,025650_6..N01X012,6,0,1756008990,06 0416+ GC /PEL,1756026146,1756026149,1268,0,0
1756008990_7..N,025650_7..N,7,0,1756008990,07 0416+ 34H/MST,1756025636,1756025639,1128,0,0
1756009170_3..N01R,025950_3..N01R,3,0,1756009170,03 0419+ NLT/148,1756027634,1756027640,1585,0,0
1756009170_6..S01X053,025950_6..S01X053,6,1,1756009170,06 0419+ PEL/GC,1756026335,1756026338,1238,0,0
1756009200_GS.N01R,026000_GS.N01R,GS,0,1756009200,0S 0420  GCS/TSS,1756023683,1756023686,129,0,0
1756009260_4..N13X156,026100_4..N13X156,4,0,1756009260,04 0421  GC /WDL,1756026074,1756026080,1169,0,0
1756009320_5..S32R,026200_5..S32R,5,1,1756009320,05 0422  DYR/180,1756024436,1756024439,732,0,0
