trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1765774860_4..N,030100_4..N,4,0,1765774860,04 0501  NLT/WDL,1765797916,1765797919,222,0,0
1765774860_4..N01R,030100_4..N01R,4,0,1765774860,04 0501  NLT/WDL,1765796821,1765796824,1185,0,0
1765774890_3..S01R,030150_3..S01R,3,1,1765774890,03 0501+ 148/NLT,1765797076,1765797079,1237,0,0
1765774980_5..N32R,030300_5..N32R,5,0,1765774980,05 0503  180/DYR,1765793659,1765793665,553,0,0
1765775100_7..N,030500_7..N,7,0,1765775100,07 0505 34H/G-C,1765793371,1765793374,455,0,0
1765775130_3..N90R,030550_3..N90R,3,0,1765775130,03 0505+ 34S/148,1765794514,1765794520,664,0,0
1765775130_6..S01R,030550_6..S01R,6,1,1765775130,06 0505+ PEL/BBR,1765796554,1765796560,1072,0,0
1765775160_2..N08R,030600_2..N08R,2,0,1765775160,02 0506  FLA/241,1765799056,1765799059,1604,0,0
1765775160_4..S05R,030600_4..S05R,4,1,1765775160,04 0506  WDL/UTI,1765796986,1765796989,1159,0,0
1765775340_1..S03R,030900_1..S03R,1,1,1765775340,01 0509  242/SFT,1765796686,1765796689,1098,0,0
1765775340_2..S01R,030900_2..S01R,2,1,1765775340,02 0509  241/FLA,1765798405,1765798408,1450,0,0
1765775370_7..S,030950_7..S,7,1,1765775370,07 0509+ MST/34H,1765795309,1765795315,783,0,0
1765775400_7..N,031000_7..N,7X,0,1765775400,=7 0510 G-C/MST,1765795375,1765795381,416,1,0
1765775430_6..N01R,031050_6..N01R,6,0,1765775430,06 0510+ BBR/PEL,1765796875,1765796881,1076,0,0
1765775490_3..S88R,031150_3..S88R,3,1,1765775490,03 0511+ 148/34S,1765794670,1765794676,635,0,0
1765775520_5..S03R,031200_5..S03R,5,1,1765775520,05 0512  DYR/FLA,1765798795,1765798798,1481,0,0
1765775550_5..S02R,031250_5..S02R,5,1,1765775550,05 0512+ 180/FLA,1765797715,1765797721,1230,0,0
1765775580_4..N,031300_4..N,4,0,1765775580,04 0513  NLT/WDL,1765798744,1765798750,278,0,0
1765775580_4..N01R,031300_4..N01R,4,0,1765775580,04 0513  NLT/WDL,1765797445,1765797451,1191,0,0
1765775580_6..S01R,031300_6..S01R,6,1,1765775580,06 0513  PEL/BBR,1765796941,1765796944,1089,0,0
1765775640_4..S06R,031400_4..S06R,4,1,1765775640,04 0514  WDL/UTI,1765797295,1765797301,1160,0,0
1765775670_1..N03R,031450_1..N03R,1,0,1765775670,01 0514+ SFT/242,1765797004,1765797010,1043,0,0
1765775820_1..S03R,031700_1..S03R,1,1,1765775820,01 0517  242/SFT,1765797085,1765797091,1059,0,0
1765775850_3..S01R,031750_3..S01R,3,1,1765775850,03 0517+ 148/NLT,1765798105,1765798108,1264,0,0
1765775850_7..S,031750_7..S,7,1,1765775850,07 0517+ MST/34H,1765795924,1765795930,816,0,0
1765776060_2..N01R,032100_2..N01R,2,0,1765776060,02 0521  FLA/241,1765799731,1765799734,1597,0,0
1765776060_2..S01R,032100_2..S01R,2,1,1765776060,02 0521  241/FLA,1765799659,1765799665,1578,0,0
1765776120_4..S06R,032200_4..S06R,4,1,1765776120,04 0522  WDL/UTI,1765797865,1765797871,1157,0,0
1765776180_5..N32R,032300_5..N32R,5,1,1765776180,05 0523  180/DYR,1765794199,1765794205,369,0,0
1765776180_7..S,032300_7..S,7,1,1765776180,07 0523 MST/34H,1765796494,1765796500,861,0,0
1765776210_6..S01R,032350_6..S01R,6,1,1765776210,06 0523+ PEL/BBR,1765797775,1765797781,1046,0,0
1765776240_5..S03R,032400_5..S03R,5,1,1765776240,05 0524  DYR/FLA,1765799239,1765799245,1467,0,0
1765776300_1..S03R,032500_1..S03R,1,1,1765776300,01 0525  242/SFT,1765797676,1765797679,1058,0,0
1765776300_4..N,032500_4..N,4,0,1765776300,04 0525  NLT/WDL,1765799209,1765799215,276,0,0
1765776300_4..N01R,032500_4..N01R,4,0,1765776300,04 0525  NLT/WDL,1765798006,1765798009,1125,0,0
1765776300_7..N,032500_7..N,7,0,1765776300,07 0525 34H/G-C,1765794640,1765794646,476,0,0
1765776330_3..N90R,032550_3..N90R,3,0,1765776330,03 0525+ 34S/148,1765795765,1765795771,674,0,0
1765776360_6..N01R,032600_6..N01R,6,0,1765776360,06 0526  BBR/PEL,1765797976,1765797979,1119,0,0
1765776570_4..S37R,032950_4..S37R,4,1,1765776570,04 0529+ WDL/BWG,1765797295,1765797301,914,0,0
1765776570_7..S,032950_7..S,7,1,1765776570,07 0529+ MST/34H,1765868850,1765868856,17258,0,0
1765776600_7..N,033000_7..N,7X,0,1765776600,=7 0530 G-C/MST,1765796905,1765796911,462,1,0
1765776690_2..S01R,033150_2..S01R,2,1,1765776690,02 0531+ 241/FLA,1765800091,1765800094,1572,0,0
1765776720_3..S01R,033200_3..S01R,3,1,1765776720,03 0532  148/NLT,1765798726,1765798729,1224,0,0
1765776720_5..S03R,033200_5..S03R,5,1,1765776720,05 0532  DYR/FLA,1765799785,1765799788,1491,0,0
1765776780_1..S03R,033300_1..S03R,1,1,1765776780,01 0533  242/SFT,1765798204,1765798210,1108,0,0
1765776810_4..N,033350_4..N,4,0,1765776810,04 0533+ NLT/WDL,1765799743,1765799746,312,0,0
1765776810_4..N01R,033350_4..N01R,4,0,1765776810,04 0533+ NLT/WDL,1765798471,1765798474,1167,0,0
1765776810_5..N32R,033350_5..N32R,5,1,1765776810,05 0533+ 180/DYR,1765795765,1765795771,256,0,0
1765776840_6..S01R,033400_6..S01R,6,1,1765776840,06 0534  PEL/BBR,1765798321,1765798324,1132,0,0
1765776870_1..N03R,033450_1..N03R,1,0,1765776870,01 0534+ SFT/242,1765798105,1765798108,1026,0,0
1765776870_2..N01R,033450_2..N01R,2,0,1765776870,02 0534+ FLA/241,1765800409,1765800415,1588,0,0
1765777050_7..S,033750_7..S,7,1,1765777050,07 0537+ MST/34H,1765797109,1765797115,826,0,0
1765777080_4..S06R,033800_4..S06R,4,1,1765777080,04 0538  WDL/UTI,1765798849,1765798855,1194,0,0
1765777080_6..N01R,033800_6..N01R,6,0,1765777080,06 0538  BBR/PEL,1765798816,1765798819,1186,0,0
1765777110_3..N01R,033850_3..N01R,3,0,1765777110,03 0538+ NLT/148,1765799173,1765799176,1272,0,0
1765777200_7..N,034000_7..N,7,0,1765777200,07 0540 34H/G-C,1765795495,1765795501,336,0,0
1765777260_1..S03R,034100_1..S03R,1,1,1765777260,01 0541  242/SFT,1765798504,1765798510,1055,0,0
1765777260_6..S01R,034100_6..S01R,6,1,1765777260,06 0541  PEL/BBR,1765798876,1765798879,1141,0,0
1765777290_2..S01R,034150_2..S01R,2,1,1765777290,02 0541+ 241/FLA,1765800859,1765800865,1623,0,0
1765777290_4..N,034150_4..N,4,0,1765777290,04 0541+ NLT/WDL,1765800358,1765800364,375,0,0
1765777290_4..N02R,034150_4..N02R,4,0,1765777290,04 0541+ NLT/WDL,1765798885,1765798891,1141,0,0
1765777320_5..S03R,034200_5..S03R,5,1,1765777320,05 0542  DYR/FLA,1765800418,1765800424,1529,0,0
1765777320_7..N,034200_7..N,7X,0,1765777320,=7 0542 G-C/MST,1765797631,1765797634,429,1,0
1765777380_5..N01R,034300_5..N01R,5,1,1765777380,05 0543  180/DYR,1765793674,1765794625,75,0,0
1765777380_7..S,034300_7..S,7,1,1765777380,07 0543 MST/34H,1765797724,1765797730,854,0,0
1765777500_4..S06R,034500_4..S06R,4,1,1765777500,$4 0545  WDL/UTI,1765799125,1765799128,1141,0,0
1765777560_3..N90R,034600_3..N90R,3,0,1765777560,03 0546  34S/148,1765797484,1765797490,779,0,0
1765777560_3..S01R,034600_3..S01R,3,1,1765777560,03 0546  148/NLT,1765799521,1765799524,1241,0,0
1765777650_5..N60R,034750_5..N60R,5,0,1765777650,05 0547+ NLT/DYR,1765800859,1765800865,1563,0,0
1765777710_1..N03R,034850_1..N03R,1,0,1765777710,01 0548+ SFT/242,1765798906,1765798909,1088,0,0
1765777710_6..S01R,034850_6..S01R,6,1,1765777710,06 0548+ PEL/BBR,1765799254,1765799260,1172,0,0
1765777740_1..S03R,034900_1..S03R,1,1,1765777740,01 0549  242/SFT,1765799179,1765799185,1154,0,0
1765777740_2..N01R,034900_2..N01R,2,0,1765777740,02 0549  FLA/241,1765801648,1765801654,1723,0,0
1765777770_7..S,034950_7..S,7,1,1765777770,07 0549+ MST/34H,1765797889,1765797895,837,0,0
